node,year_construction,capacity_existing
AUS,2022,80
AUT,2022,0.35
BRA,2022,41.5
CHN,2022,55
CZE,2022,0
DEU,2022,0
ITA,2022,0
JPN,2022,28
KOR,2022,0
ROE,2022,177.5
ROW,2022,1258.65
USA,2022,9
