node,year_construction,capacity_existing
AUS,2022,0
AUT,2022,0.35
BRA,2022,0
CHN,2022,0
CZE,2022,0
DEU,2022,0
ITA,2022,0
JPN,2022,0
KOR,2022,0
ROE,2022,177.5
ROW,2022,0
USA,2022,0
