year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,1.8485040288146268,0.0,4.992836143217454,79.09353880107011,1.0732983067468862,8.238694982130038,1.7439751321092658,12.158662156996053,6.505971744243766,19.875080870161597,17.657786531575532,7.247024283667823
2023,1.9622581228955267,0.0,5.145395025371321,85.2403213108911,1.2766600911831383,9.741895470097624,2.0201045280265664,13.10763091071282,7.026449483783267,23.369549928902966,20.09851532628752,7.663728179978723
2024,2.076012216976427,0.0,5.297953907525187,91.89069564079382,1.496968690989078,11.461903720752844,2.3834326805493298,14.130737848313705,7.575842653297185,27.482931722134406,22.86649267448044,8.098549636998792
2025,2.2039855728174396,0.0,5.457447284322411,99.0594733148983,1.7624687984475185,13.470988988324907,2.804893337475736,15.227982969798715,8.15415125278552,32.32095072246361,26.009442323536934,8.560547435082615
2026,2.331958928658452,0.0,5.616940661119635,106.79108890556469,2.073160413558459,15.841420527043024,3.284486498805784,16.414193911944672,8.790290712222687,38.01148408408431,29.595541055432196,9.049721574230194
2027,2.4599322844994647,0.0,5.790303027203575,115.11516546103313,2.4403414132350254,18.631013740290562,3.865811542842206,17.704198311528398,9.484261031608689,44.703721820222505,33.66569493935135,9.566072054441527
2028,2.6163441638607026,0.0,5.963665393287514,124.09094907778379,2.8640117974772177,21.912037882296733,4.548868469585002,19.083168531773072,10.221604495956317,52.56816680313649,38.30171611366461,10.109598875716614
2029,2.77275604322194,0.0,6.143962254014811,133.77768585229686,3.3724162585678474,25.77121605813659,5.348190405135083,20.565932209455518,11.016778820252776,61.82860405266531,43.571781360347195,10.680302038055453
2030,2.929167922583178,0.0,6.324259114742108,144.20499883281246,3.965554796506916,30.309725223731036,6.292843601694268,22.16731698135256,11.88424171948528,72.70881858864794,49.57133817416436,11.287240321812636
2031,3.0997990637045283,0.0,6.511490470112763,155.4617571640509,4.6603742266641115,35.6431961858468,7.3973611853634695,23.902150484241023,12.809535478666612,85.4965340080203,56.395834049881394,11.939472507342739
2032,3.2846494665859907,0.0,6.712590814770133,167.57758389425229,5.485119241322245,41.916167452942304,8.70534253444542,25.7704327181209,13.807117812783993,100.55406891433124,64.16116951685612,12.618881033936598
2033,3.483719131227566,0.0,6.913691159427502,180.65615969225695,6.44543877893788,49.30208523516765,10.231320775041027,27.772163682992204,14.876988721837408,118.24374191112965,72.9968804608414,13.334524681948794
2034,3.6827887958691408,0.0,7.1217259987282295,194.74191913042506,7.580875408706954,57.974395742672954,12.033428411553935,29.936998652408576,16.048063635801288,139.05574875615815,83.04613812398517,14.095462231733917
2035,3.896077722270829,0.0,7.329760838028957,209.93854287759697,8.914024884455717,68.17881443983754,14.155264822286876,32.27976526314684,17.291427124701208,163.53356735474006,94.4793844612254,14.901693683291962
