year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,0.7633230902926313,0.0,9.63667859580037,61.50254428637575,2.5164887573801753,3.750894154361122,0.8260541092596198,6.148634595621842,3.7510660176676476,24.157414391294658,36.56857200331139,6.272721598145158
2023,0.810296818926024,0.0,9.93113266400538,66.28223639851919,2.9932971535153663,4.435267824630519,0.9568460098923928,6.628528027475255,4.05115129908106,28.404810297809345,41.62322404083474,6.633403090038505
2024,0.8572705475594168,0.0,10.225586732210392,71.45351774394666,3.5098395826618236,5.2183492358041565,1.128940615988147,7.145913133692215,4.367907985017439,33.40447138989982,47.35559478729977,7.009766385927214
2025,0.9101159922719836,0.0,10.533425076242905,77.02790565304888,4.132339433171657,6.133040968183448,1.3285703590592217,7.700789914272723,4.701336075476785,39.28490179355027,53.86451822109381,7.4096523878089675
2026,0.9629614369845503,0.0,10.841263420275416,83.03995211699797,4.860796705044865,7.212245602069807,1.555735239105617,8.300656704089487,5.068106974982067,46.20153138727129,61.29118573991303,7.8330610956837665
2027,1.015806881697117,0.0,11.175870315962928,89.51269179657535,5.721700753622294,8.48228520170436,1.8310866088588238,8.95301183801522,5.468220683533282,54.33569502932522,69.72031218237517,8.27999250955161
2028,1.0803957585680322,0.0,11.510477211650441,96.49219401334383,6.715051578903942,9.976062347388527,2.1546244683188416,9.65035698117721,5.893341498868949,63.89463255772617,79.3213272257156,8.750446629412496
2029,1.144984635438947,0.0,11.858468383165455,104.02452808886625,7.90707256924192,11.733060135484,2.533232601729501,10.400190468448166,6.351805123250551,75.15034625986767,90.23542226763054,9.244423455266427
2030,1.209573512309862,0.0,12.206459554680468,112.13272868392403,9.297763724636226,13.799342178412758,2.980678577578461,11.210010634700799,6.85194725893957,88.37483842314326,102.66026526489463,9.769763889111085
2031,1.280034105259951,0.0,12.567835002022983,120.8858997808614,10.926859078098131,16.227552604657063,3.5038461801095537,12.087315814807818,7.385432203674524,103.91782627420173,116.79352417428257,10.334308832944147
2032,1.3563664142892142,0.0,12.955979001020497,130.3070760404598,12.86058201797974,19.08349657481974,4.123386762054269,13.032106008769222,7.960595659716898,122.21969446882306,132.8752243718778,10.922376482770256
2033,1.4385704393976515,0.0,13.344123000018014,140.47687877545414,15.112177221951475,22.446140281624185,4.846184107656436,14.044381216585014,8.577437627066688,143.72082766278726,151.17362951330313,11.54180774058709
2034,1.5207744645060886,0.0,13.745651274843027,151.42985997701655,17.774357433706292,26.394449917793786,5.699773353891375,15.139138108000612,9.252629510246864,169.01704039038492,171.9852415337205,12.200443508392333
2035,1.6088502056937002,0.0,14.147179549668044,163.24664095788202,20.900101363925877,31.040294256353352,6.70480585349058,16.32387501788872,9.96949990473446,198.768909635286,195.6630389273704,12.898283786185981
