node,year_construction,capacity_existing
AUS,2022,1.30
AUT,2022,0.00
BRA,2022,15.2
CHN,2022,53.4
CZE,2022,1.92
DEU,2022,5.73
ITA,2022,1.18
JPN,2022,32.8
KOR,2022,44
ROE,2022,18.65
ROW,2022,34.72
USA,2022,8
