node,year_construction,capacity_existing
AUS,2022,5808
AUT,2022,7884
BRA,2022,33000
CHN,2022,990000
CZE,2022,4817
DEU,2022,38000
ITA,2022,24000
JPN,2022,97000
KOR,2022,69000
ROE,2022,224718
ROW,2022,323773
USA,2022,82000
