node,S1,S2,S3,S4,S5,base
AUS,52.3,52.2,52.3,52.3,2.3,38.5
AUT,24.8,19.3,24.8,24.4,3.5,25.5
BRA,21.2,20.2,21.2,21.2,13.1,44.3
CHN,1100.6,1082.1,1100.6,1103.1,1345.7,1145.2
CZE,24.8,126.1,24.8,35.4,15.6,25.6
DEU,79.2,70.4,79.2,79.5,79.9,81.6
ITA,74.7,71.4,74.7,74.4,0.0,73.7
JPN,193.8,203.4,193.8,193.8,187.0,186.0
KOR,121.9,107.1,121.9,121.9,75.0,130.4
ROE,354.7,357.9,354.7,349.1,256.9,284.3
ROW,229.0,230.9,229.0,221.7,236.2,162.4
USA,702.1,638.3,702.1,702.5,764.1,756.7
