location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,S1
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,S1
AUS,0,Compressor,28400.57665784776,1.0,28.40057665784776,S1
AUS,1,Compressor,28248.738199592102,1.0,28.248738199592104,S1
AUS,2,Compressor,27999.992663777546,1.0,27.999992663777547,S1
AUS,3,Compressor,26055.14212229166,1.0,26.055142122291663,S1
AUS,4,Compressor,34477.10101756699,1.0,34.47710101756699,S1
AUS,5,Compressor,34219.00096,1.0,34.219000959999995,S1
AUS,6,Compressor,34534.5634466941,1.0,34.5345634466941,S1
AUS,7,Compressor,34907.90926530613,1.0,34.90790926530613,S1
AUS,8,Compressor,35311.007114197375,1.0,35.31100711419737,S1
AUS,9,Compressor,35715.850121955555,1.0,35.715850121955555,S1
AUS,10,Compressor,24437.24635521332,1.0,24.43724635521332,S1
AUS,11,Compressor,31799.4949329,1.0,31.7994949329,S1
AUS,12,Compressor,26579.59586984506,1.0,26.57959586984506,S1
AUS,13,Compressor,26915.57419044523,1.0,26.91557419044523,S1
AUS,0,Copper_ore,2.97144592,5.51666667,0.016392476668571486,S1
AUS,1,Copper_ore,2.97144592,5.51666667,0.016392476668571486,S1
AUS,2,Copper_ore,2.97144592,5.51666667,0.016392476668571486,S1
AUS,3,Copper_ore,2.9714459200000003,5.51666667,0.01639247666857149,S1
AUS,4,Copper_ore,1911.0002585308189,5.51666667,10.542351432598352,S1
AUS,5,Copper_ore,1911.000226880722,5.51666667,10.542351257995318,S1
AUS,6,Copper_ore,3056.20272823805,5.51666667,16.86005172763392,S1
AUS,7,Copper_ore,3056.202670648599,5.51666667,16.860051409932115,S1
AUS,8,Copper_ore,3056.2026164947215,5.51666667,16.86005111118322,S1
AUS,9,Copper_ore,3056.2025654778918,5.51666667,16.86005082974038,S1
AUS,10,Copper_ore,3056.202517333199,5.51666667,16.860050564142156,S1
AUS,11,Copper_ore,3056.2016070849104,5.51666667,16.86004554260576,S1
AUS,12,Copper_ore,3056.201518492703,5.51666667,16.860045053872085,S1
