node,year_construction,capacity_existing
AUS,2022,2.7
AUT,2022,0.4
BRA,2022,1.5
CHN,2022,39.6
CZE,2022,0.3
DEU,2022,2.0
ITA,2022,2.6
JPN,2022,7.7
KOR,2022,0.6
ROE,2022,4.7
ROW,2022,77.1
USA,2022,25.2
