technology,location,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,AUS,0,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,1,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,2,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,3,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,4,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,5,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,6,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,7,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,8,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,9,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,10,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,11,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,12,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUS,13,11.058,11.058,11.058,11.058,11.058
Aluminium_production,AUT,0,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,1,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,2,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,3,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,4,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,5,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,6,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,7,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,8,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,9,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,10,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,11,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,12,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,AUT,13,3.843548,3.843548,3.843548,3.843548,3.843548
Aluminium_production,BRA,0,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,1,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,2,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,3,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,4,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,5,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,6,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,7,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,8,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,9,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,10,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,11,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,12,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,BRA,13,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999,6.173331999999999
Aluminium_production,CHN,0,51.209508,51.209508000000014,51.209508,51.209508,51.209508
Aluminium_production,CHN,1,58.105393103332005,58.105393103332,58.105393103332,58.105393103332,58.105393103332005
Aluminium_production,CHN,2,65.78929489650801,65.78929489650801,65.789294896508,65.78929489650801,65.78929489650801
Aluminium_production,CHN,3,74.37031908685603,74.37031908685601,74.37031908685599,74.370319086856,74.37031908685603
Aluminium_production,CHN,4,83.974273664036,83.97427366403599,83.97427366403596,83.974273664036,83.974273664036
Aluminium_production,CHN,5,94.74637064074798,94.74637064074798,94.74637064074794,94.74637064074798,94.74637064074798
Aluminium_production,CHN,6,106.85436049117598,106.85436049117601,106.85436049117597,106.85436049117598,106.85436049117598
Aluminium_production,CHN,7,120.49219810395196,120.49219810395198,120.49219810395196,120.49219810395198,120.49219810395196
Aluminium_production,CHN,8,135.88430013859994,135.8843001386,135.88430013859994,135.88430013859997,135.88430013859994
Aluminium_production,CHN,9,153.29053602174,153.29053602174,153.2905360215004,153.29053602174,153.29053602174
Aluminium_production,CHN,10,0.0,173.01202370119196,173.01202370143153,173.01202370119202,0.0
Aluminium_production,CHN,11,0.0,195.39791581351642,195.39791581351642,195.39791581375601,0.0
Aluminium_production,CHN,12,0.0,220.85329754157237,220.8532975415724,220.853297541812,0.0
Aluminium_production,CHN,13,0.0,249.84843122218928,249.84843122218936,249.84843122290792,0.0
Aluminium_production,CZE,0,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,1,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,2,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,3,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,4,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,5,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,6,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,7,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,8,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,9,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,10,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,11,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,12,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,CZE,13,0.46968,0.46968,0.46968,0.46968,0.46968
Aluminium_production,DEU,0,4.305400000000001,4.305400000000001,4.305400000000001,4.305400000000001,4.305400000000001
Aluminium_production,DEU,1,4.305400000000001,4.305400000000001,4.305400000000001,4.305400000000001,4.305400000000001
