tech_location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
DEU-HEX_manufacturing,-,332413.9933226872,43400.0,42300.0,41200.0,40100.0,39100.0,38100.0,37100.0,36100.0,35200.0,34300.0,33400.0,32500.0,60401.076409437475
DEU-HP_assembly,-,530711.6705482521,100544.30228,64244.30228,63944.30228,63744.30228,63444.30228,63144.30228,62944.30228,62644.30228,62444.30228,99028.07191350787,107334.30227999999,69666.77419011237,108756.887650144
DEU-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEU-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DEU-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Aluminium_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Bauxite_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Compressor_manufacturing,-,-,118393.11829678841,78200.0,76300.0,74500.0,72700.0,70900.00000000001,69200.0,67500.0,65800.0,64200.0,62700.0,61099.99999999999,73457.7598580657
ITA-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Copper_refinement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-HEX_manufacturing,-,-,135962.67907027944,40800.0,39700.0,38700.0,37699.999999999985,36699.99999999997,35699.99999999997,34800.0,33899.99999999995,32999.99999999995,32199.99999999997,31299.99999999997,44205.2232558566
ITA-HP_assembly,-,-,196322.96637558736,65487.76808,65287.76808,64987.76808,64687.76808,64387.76808,64187.76808,63887.76808,63687.76808,63387.76808,133583.97061164555,71387.76808000001,81773.71814893607
ITA-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ITA-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-Aluminium_production,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
JPN-Bauxite_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-Compressor_manufacturing,336519.48051948054,314919.0258889662,278835.88621444197,275606.1269146608,213391.70250238417,210861.3661090753,177037.66698666054,104776.19767743417,72500.0,71700.0,70900.0,70100.0,69300.0,68500.0,166781.9609152217
JPN-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-Copper_refinement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-HEX_manufacturing,42710.0000002048,42300.0,41500.0,41100.0,40700.0,40300.0,39900.0,39600.0,39200.0,38800.0,38400.0,38100.0,37699.999999999985,37399.999999999985,39836.4285714432
JPN-HP_assembly,60969.81077766233,58594.302066375516,55052.148440000004,54752.148440000004,54452.148440000004,54152.148440000004,74880.3548136142,83786.97502823528,61599.421167272725,61334.17091191011,60470.47304732984,60709.42999339806,60325.12141297297,60018.25722661088,61506.92215752728
JPN-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JPN-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Aluminium_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Bauxite_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Compressor_manufacturing,113551.55520589814,112480.31411905005,111194.82481483233,87087.3382757417,63398.167347346265,60390.77600342658,55920.0640313431,50023.20185614849,48500.0,47900.0,47400.0,46800.0,46300.0,45800.0,66910.44583241333
KOR-Copper_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Copper_refinement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-HEX_manufacturing,28550.0,28300.0,27700.0,27500.0,27200.0,27000.0,51100.0,26400.0,26200.0,25900.0,25700.0,25500.0,25200.0,25000.0,28375.0
KOR-HP_assembly,51558.50844,51258.50844,50958.50844,50658.50844,50358.50844,69241.65408102628,75845.2842343925,57447.20409217392,57489.15360129032,56732.19265052632,57421.008440000005,56606.250375483876,55772.96627132531,56294.26262994412,56974.465612583044
KOR-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOR-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROE-Aluminium_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROE-Bauxite_mining,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999997,30.659999999999986
