node,year_construction,capacity_existing
AUS,2022,160
AUT,2022,1
BRA,2022,83
CHN,2022,110
CZE,2022,1
DEU,2022,1
ITA,2022,1
JPN,2022,56
KOR,2022,1
ROE,2022,355
ROW,2022,2517.3
USA,2022,18
