node,year_construction,capacity_existing
AUS,2022,2.11
AUT,2022,1.50
BRA,2022,0.00
CHN,2022,50.00
CZE,2022,1.25
DEU,2022,4.25
ITA,2022,4.00
JPN,2022,9.14
KOR,2022,6.86
ROE,2022,14.00
ROW,2022,11.89
USA,2022,34.00

