year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,2.1,1.5,0.0,50.0,1.3,4.3,4.0,9.1,6.9,14.0,11.9,34.0
2023,2.2,inf,0.0,54.1,inf,inf,inf,9.8,7.4,inf,10.8,36.9
2024,2.3,inf,10.1,58.5,inf,inf,inf,10.6,8.0,inf,9.8,40.0
2025,2.4,inf,10.1,63.3,inf,inf,inf,11.4,8.6,inf,9.0,43.4
2026,2.5,inf,10.1,68.5,inf,inf,inf,12.3,9.2,inf,8.1,47.0
2027,2.6,inf,10.2,74.1,inf,inf,inf,13.2,9.9,inf,7.4,51.0
2028,2.7,inf,10.2,80.2,inf,inf,inf,14.2,10.7,inf,6.7,55.3
2029,2.8,inf,10.2,86.8,inf,inf,inf,15.3,11.5,inf,6.1,59.9
2030,2.9,inf,10.3,93.9,inf,inf,inf,16.5,12.4,inf,5.6,65.0
2031,3.0,inf,10.3,101.6,inf,inf,inf,17.8,13.3,inf,5.1,70.5
2032,3.1,inf,10.3,109.9,inf,inf,inf,19.1,14.4,inf,4.6,76.4
2033,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2034,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2035,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
