year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,1.253494884592155,1.8674641594023553,0.0,44.45431088791925,1.3860491759529054,5.434105810474263,4.581505296732116,6.057953578501894,6.88754403159171,11.977550569865413,13.64724665043551,35.91563801635674
2023,1.3131851171917814,1.9919617700291792,0.0,48.09956438072863,1.3860491759529054,5.6868549179381835,4.810580561568722,6.523950007617424,7.386641425185312,12.66198203100058,12.385736455857439,38.97903067069304
2024,1.3728753497914077,2.1164593806560026,14.033328551253339,52.01154373886553,1.492668343333898,6.065978579134062,5.154193458823631,7.05651735517803,7.985558297497634,13.43196742477764,11.238909006241009,42.2536917839491
2025,1.4325655823910342,2.2409569912828267,14.033328551253339,56.27915758410577,1.599287510714891,6.318727686597981,5.383268723660237,7.589084702738636,8.584475169809956,14.201952818554705,10.321447046547865,45.84525558558477
2026,1.4922558149906606,2.3654546019096503,14.033328551253339,60.902405916449375,1.7059066780958838,6.69785134779386,5.726881620915146,8.188222968744318,9.183392042122279,15.057492144973663,9.289302341893078,49.64808784614019
2027,1.551946047590287,2.489952212536474,14.17227239829545,65.88128873589632,1.8125258454768765,7.076975008989739,6.070494518170054,8.78736123475,9.882128393153323,15.913031471392621,8.486523127161579,53.87345702453511
2028,1.6116362801899136,2.6144498231632975,14.17227239829545,71.30471466422249,1.919145012857869,7.582473223917578,6.414107415424962,9.453070419200756,10.680684222903084,16.85412473045347,7.683743912430078,58.41572889130963
2029,1.6713265127895398,2.7389474337901216,14.17227239829545,77.17268370142781,2.0257641802388617,7.961596885113456,6.757720312679872,10.185350522096591,11.479240052652848,17.795217989514327,6.9956474426602195,63.274903446463775
2030,1.7310167453891663,2.9879426550437684,14.311216245337565,83.48519584751236,2.1323833476198546,8.467095100041295,7.215870842353083,10.9842015434375,12.377615361121332,18.821865181217078,6.422233717852005,68.66224914891728
2031,1.7907069779887927,3.1124402656705925,14.311216245337565,90.33115972425192,2.2390025150008475,8.972593314969133,7.674021372026295,11.849623483223485,13.275990669589817,19.93406630556172,5.84881999304379,74.47213176921029
2032,1.8503972105884192,3.236937876297416,14.311216245337565,97.71057533164652,2.3456216823818403,9.478091529896972,8.017634269281203,12.715045423009471,14.37400493549574,21.131821362548262,5.275406268235575,80.70455130734278
2033,1.969777675787672,3.4859330975510634,14.311216245337565,105.71235129147199,2.4522408497628327,9.98358974482481,8.590322431372718,13.713609199685607,15.472019201401665,22.329576419534806,4.816675288389004,87.57077622223451
2034,2.029467908387298,3.7349283188047107,14.450160092379676,114.42539622550414,2.665479184524818,10.615462513484609,9.04847296104593,14.778743894806817,16.570033467307592,23.612885409163244,4.357944308542431,94.9651722844256
2035,2.0891581409869246,3.8594259294315347,14.450160092379676,123.76080151196719,2.772098351905811,11.247335282144407,9.621161123137444,15.910449508373105,17.867686690650956,24.981748331433575,4.013896073657503,102.88773949391607
