location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,0.06969993493092126,0.07077361667075949,0.07189024568019124,0.0747865303197295,0.07653900117960233,0.07831155467926612,0.08010558126364423,0.08248138138822318,0.10191690037133481,0.10363761385424887,0.1107460316848714,0.1071061160620697,0.11316962574867785,0.10360932434572682
AUT,3.4900384796607504,2.9704255454893453,2.9704255454893453,2.9704255454893453,2.9704255454893453,2.9704255454893453,2.9704255454893453,2.9704255454893453,2.927544371354102,2.789057847724372,2.754126028375763,2.6346131220153644,2.6045999338733674,2.5925024701556603
BRA,0.0,0.0,0.0,0.005114448533916877,0.0356171442457744,0.033065450520150357,0.04707754797333576,0.05188075751165763,0.055001817574291054,0.055001817574291054,0.055001817574291054,0.09609704304010246,0.09506991663298478,0.09506991663298478
CHN,0.03835442651541511,0.02782879897365257,0.01808605493570179,0.010736443022936642,0.005512737076872998,0.00663739574849664,0.011154600854284758,0.019235110007632932,0.022648457572718283,0.025509190237432897,0.03939477020371939,0.07923625325455257,0.11442894911873147,0.140620888208403
CZE,27.205968035997724,28.4833810050822,28.74665904093431,28.4676488910894,25.44278480620155,25.490036020671834,24.622404357916203,25.49489132389143,27.10072763714293,28.143167182644895,33.624931114155615,23.022807376852754,18.581676949329115,17.788245034571727
DEU,2.124346535657521,2.124346535657521,2.124346535657521,2.124346535657521,2.124346535657521,2.1275595128724922,2.116419552740946,2.111122963358926,2.104255847874651,2.112592138955822,2.1111719309974264,2.120953066365377,2.131692201770505,2.138057209722043
ITA,1.9887048695548195,1.9862125484132873,1.998633340973277,2.0131656948399304,2.030168526798721,2.050061852466212,2.073337026404422,2.1716696208258717,2.199435105493916,2.2204830512001372,2.245624070136274,2.0272751249495546,2.001682100904385,1.9825545002359553
JPN,1.7074087254862433,1.7074087254862433,1.7074087254862433,1.7149122177217087,1.7149122177217087,1.7149122177217087,1.7149122177217087,1.729309421784346,1.7510105936336422,1.7565880689621127,1.7259357324686326,1.7270906570997526,1.7346742388937963,1.7420130825755964
KOR,1.370550106376098,1.4087774926751186,1.4688481840428613,1.5146873501153746,1.5280231155786612,1.529481293071523,1.5359066749776356,1.5359066749776358,1.5412308011178009,1.5467798121598548,1.5972322853821295,1.6050455511691466,1.6124955084136736,1.6208653289409654
ROE,0.01924825805449495,0.01982757292771374,0.02131303514926778,0.021861742025703783,0.02339623296401685,0.025299793452905506,0.031231535019199792,0.05473216682448639,0.06242938819357151,0.07064521772148696,0.07304675447224837,0.06901255054867227,0.07364423350393345,0.07811685540774126
ROW,0.3210445924353077,0.28868643567081986,0.3268360371943158,0.3695497920684313,0.4169863136739947,0.40934770679290416,0.3086147955937018,0.2533247429761164,0.19678847593281157,0.174863769595115,0.17590532410582757,0.16031641048988748,0.13630561557151452,0.1232287143239146
TOTAL,0.29139897141439236,0.28550336701847573,0.28008059888507825,0.2738295077328317,0.2681193577080939,0.25305608789829337,0.23896764533016562,0.23606268314610865,0.2389046811913785,0.24152656498973676,0.2635444224118341,0.2840391055719444,0.2924515841047428,0.29952609964608023
USA,0.388489204500083,0.39004219645573407,0.35432616078124446,0.3557054973657011,0.3319822613996876,0.3222484342354932,0.31454657502058425,0.3059133549582883,0.3002428570479077,0.2914844251688536,0.28029852772600183,0.27359876009366824,0.26311325470503555,0.2741476474989306
