location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Aluminium,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS,Bauxite,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000007
AUS,Compressor,28400.57665784776,28248.738199592102,27999.992663777546,26055.14212229166,34477.10101756699,34219.00096,34534.5634466941,34907.90926530613,35311.007114197375,35715.850121955555,24437.24635521332,59839.39124195592,35349.88990816643,36544.456152299106,34002.918944776
AUS,Copper_ore,2.97144592,2.97144592,2.97144592,2.9714459200000003,1911.0002585308189,1911.000226880722,3056.20272823805,3056.202670648598,3056.2026164947215,3056.2025654778918,3056.202517333199,3056.2022770501376,3056.2022278845343,3056.202180968187,2020.2504323704902
AUS,HEX,30159.999999999996,29699.999999999996,28899.999999999996,28599.999999999996,28199.999999999996,27799.999999999996,27400.0,29142.85714285714,58700.0,26300.0,34571.42857142857,25600.0,32800.0,31566.666666666668,31388.63945578231
AUS,HP,60063.48889782115,59702.63134446488,59112.73091053838,55772.94481891694,57538.76668408145,56351.382137542634,55196.1468401115,54707.8796687564,56527.46417712193,62043.040665579065,65335.38766947579,64973.561713385294,65120.58377247374,51981.72736262804,58887.69547592122
AUS,Iron,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.17089192,35.170891919999995,35.170891919999995
AUS,Nickel,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3972.0835243533343,4010.1190355533345,4035.4760430200013,4068.077909762858,4111.54706542,4145.356408708889,4001.278582269887
AUS,Refrigerant,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.000999999998,15111.001,15111.001000000002,15111.000999999998,15111.000999999998,15111.000999999998,15111.000999999995
AUS,Steel,495.59999592000014,495.59999592000014,495.59999592000014,495.59999592,495.59999591999997,495.5999959200001,495.59999592,495.59999592,495.59999592,495.5999959200001,495.5999959200001,495.59999592,495.5999959200001,495.59999592,495.59999591999997
AUT,Aluminium,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT,Bauxite,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.46652105837872
AUT,Compressor,81383.99676,79183.99676,77283.99676,75483.99676,73783.99676,72083.99676,70383.99676,68783.99676,67183.99676,65583.99676,64083.996759999995,62583.99676,61183.99676,59783.996759999995,69912.56818857143
AUT,Copper,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997
AUT,Copper_ore,2412.072411364351,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,1271.29391365653,1412.3364591985708,1102.861568584168,1230.9481476475653,1288.895574567346,1020.5843247437786
AUT,HEX,46430.00000004095,27207.179864355556,25914.290975466665,25298.290975466665,24682.29097546666,24120.068753244443,23511.179864355556,22956.068753244443,93066.66666654653,54949.999999959036,29663.360317255392,55899.99999995319,38133.333333322415,30106.987517044745,37281.40842826587
AUT,HP,152034.006,63834.006,63534.006,63234.006,62934.006,62734.006,62434.006,62234.006,61934.006,97334.006,72983.04091937399,92958.82200000035,70454.00600000001,65240.45761290323,75276.88475230556
AUT,Iron,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.923261280000002,28.92326128,28.92326128,28.92326128000001
