location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Aluminium,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS,Bauxite,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000007
AUS,Compressor,28400.57665784776,28248.738199592102,27999.992663777546,26055.14212229166,34477.10101756699,34219.00096,34534.5634466941,34907.90926530613,35311.007114197375,35715.850121955555,24437.24635521332,31799.4949329,26579.59586984506,26915.57419044523,30685.84235125949
AUS,Copper_ore,2.97144592,2.97144592,2.97144592,2.9714459200000003,1911.0002585308189,1911.000226880722,3056.20272823805,3056.202670648599,3056.2026164947206,3056.2025654778918,3056.202517333199,3056.2016070849104,3056.201518492703,3056.2014483676608,2020.2502815163768
AUS,HEX,30159.999999999996,29699.999999999996,28899.999999999996,28599.999999999996,28199.999999999996,27799.999999999996,27400.0,29142.85714285714,58700.0,26300.0,34571.42857142857,25600.0,32800.0,31566.666666666668,31388.63945578231
AUS,HP,60063.48889782115,59702.63134446488,59112.73091053838,55772.94481891694,57538.76668408145,56351.382137542634,55196.1468401115,54707.8796687564,56527.46417712193,62519.72388716251,65156.971819930266,51706.537449022675,39479.11445259617,38295.86560328985,55152.26062081119
AUS,Iron,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995
AUS,Nickel,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.4050206200013,3972.0835243533343,4010.1190355533345,4035.4760430200013,4068.077909762858,4111.547065420001,4145.356408708889,4001.2785822698875
AUS,Refrigerant,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.000999999998,15111.001,15111.001000000002,15111.000999999998,15111.001,15111.001000000002,15111.000999999995
AUS,Steel,495.59999592000014,495.59999592000014,495.59999592000014,495.59999592,495.59999591999997,495.5999959200001,495.59999592,495.59999592,495.59999592,495.5999959200001,495.5999959200001,495.59999592,495.59999592,495.59999592000014,495.59999591999997
AUT,Aluminium,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT,Bauxite,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.466521058378724,32.46652105837872
AUT,Compressor,81383.99676,79183.99676,77283.99676,75483.99676,73783.99676,72083.99676,70383.99676,68783.99676,67183.99676,65583.99676,64083.996759999995,62583.996759999995,61183.996759999995,59783.996759999995,69912.56818857143
AUT,Copper,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997
AUT,Copper_ore,2412.072411364351,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,696.2215589242958,647.0621106774229,406.37098363033067,406.37098363033067,406.37098363033067,406.37098363033067,732.4564948541048
AUT,HEX,46430.0000002048,27207.179864355556,25914.290975466665,25298.290975466665,24682.29097546666,24120.068753244443,23511.179864355552,22956.068753244443,97241.40254790467,40212.12300000001,22511.449910769228,59566.666666666664,33000.0,51350.0,37428.643734796104
AUT,HP,152034.006,63834.006,63534.006,63234.006,62934.006,62734.006,62434.006,62234.006,61934.006,71982.692060705,115412.51584615385,61134.006,60934.006,45804.48295748286,72155.26834745299
AUT,Iron,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128,28.92326128000001
