commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.3482233236154112,0.36354552449644684,0.3762416745130572,0.3900854897945246,0.4048685270235476,0.4203896398564972,0.42686989844601764,0.4340464173377377,0.42755204364325533,0.44321483826345315,0.4564103178139149,0.46874772599897,0.4762053426827119,0.485836937838963,0.42301697866603627
Bauxite,0.07118657695885418,0.06573169815532812,0.060560751690532905,0.055670019487143875,0.05105540599659164,0.04671234631650686,0.042635732383810555,0.038819848064056604,0.03525832643720909,0.03194411960100894,0.050500379297516926,0.11554898310788549,0.1787876165227505,0.2368984241342639,0.07723644486810426
Compressor,0.038918648611742906,0.04452198618796237,0.06643043081523563,0.0740365154287433,0.09960463697143691,0.10915283052131106,0.12153665389253938,0.1353089029697269,0.16663216537427325,0.20401196336645125,0.24416514160021865,0.16968472286391825,0.12138780932776565,0.09581228030425178,0.12080033487396981
Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_ore,0.0004065766423287131,0.00037675147945032817,0.0003615306791824161,0.00033564919529242404,0.000322211869124828,0.00030204113020986884,0.00029558618557560005,0.00033926111089178,0.00036771027269579275,0.0003926911000352607,0.00042566052773601007,0.00041521020799612684,0.00040919612687793824,0.0004078992337208435,0.0003684268400798522
HEX,0.08108756622134174,0.09222129865393076,0.12717378223316425,0.16613364562431707,0.2066610617387298,0.2590365719189706,0.2855476107481284,0.22787925834076353,0.21943468467328886,0.24026368274237117,0.27035888867002017,0.23664856174703666,0.22268287597680841,0.22183237100678274,0.2040687043068324
HP,0.08131741081027848,0.10877334972530978,0.10575996281622349,0.12327348065738514,0.10896168338359846,0.1262735329017286,0.14320985272240255,0.15925725245436953,0.16268785197590543,0.17197519803962033,0.1817415163310913,0.18659285438098638,0.1929818464576128,0.18058337161986276,0.1452420831625982
Iron,0.07798303181696767,0.07921012051582631,0.08703083779979882,0.09821065666944755,0.10298588193241548,0.09693858357384938,0.09005248296162423,0.08453362951431488,0.0869479785542687,0.09195046331055057,0.10093281118573504,0.09430531993434142,0.09117278377915675,0.09070917943535681,0.09092598292740382
Nickel,0.0002875704222686883,0.0002718981727004929,0.00025965201350765325,0.0002527329367637738,0.0002450220277599739,0.00023612725925171535,0.00023887596888067523,0.0002726409092587948,0.00030607408308998626,0.00030590947264932055,0.000299079864866017,0.0003008897495570553,0.00031374866489572033,0.00034692750585806704,0.000281224932236281
Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
