location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,149.35392811558276,148.38123210397083,146.74258613422978,141.15794950112246,161.47168921749207,159.62620443878322,164.70423209768478,166.33216757009706,198.1273493233948,172.17052227269173,171.83130841984158,156.811178044748,146.6165075113226,144.57685482948528,159.1359792557462
AUT,318.0960065865876,199.0074092423912,195.5145203535023,192.79852035350228,190.1825203535023,187.72029813128006,185.11140924239118,182.75629813128006,255.1416319259403,206.28984214908152,229.19118012695418,210.46788703669773,182.30122037003107,184.12169732751394,208.4786029521897
BRA,37.67838988155,37.50838988155,37.108389881549996,4980.266524368382,715.9095597210095,479.5594252241095,277.86797181252905,187.75348182027875,168.79376340999545,168.39376340999544,167.99376340999544,167.49376340999544,224.68957521507883,166.8229085484122,558.4171192853165
CHN,120.66579322543325,121.14457805377354,120.59244041603476,118.5281477527509,123.267668592169,131.16413088065542,128.4235761963895,125.00030979378778,117.8068641350582,115.80246483421067,115.62544663574852,110.67404266368132,111.17133875260939,111.40073342935467,119.37625252583264
CZE,236.7227916480243,231.7299839445343,226.60978258335163,212.47793521034902,203.61019229861702,218.49470952956386,218.94377995678036,214.92055869059678,218.7418918498302,201.85554182568148,216.09480968056155,186.6110371734697,300.016413424039,229.46722794657924,222.59261826871278
DEU,235.1968674825713,226.88607625285638,219.64544812691906,214.03016564208454,209.0629581854089,206.0069469242698,218.25921894226582,209.5574937680268,265.41303431008566,189.8168081493688,163.56694552905702,161.4830944034236,177.45694407497814,159.23908359003713,203.97293467009663
ITA,155.37923914939776,155.9906493816752,143.48900636025812,136.15782361514263,131.9111931440294,129.90911342765966,129.3870971479183,171.11395836674563,159.62163236983676,176.8784734268135,154.16857752942792,215.2226219687455,226.90413332984284,225.11457452091648,165.08914955274355
JPN,468.22864277040276,465.2139674455227,460.6500713416266,389.36673175974477,385.7063239278036,384.07373610620704,377.6534613097053,388.79526258860835,348.61423336750215,280.7738586265339,207.68201292696529,196.20336085419768,212.67233169814028,217.88330280506105,341.6798069662873
KOR,408.66865758868266,340.7612131586166,249.19159142584115,214.50898974995138,186.6843381382328,181.8168397148711,176.24626547500725,169.9978919057643,176.72976397212705,176.26231133594996,221.2503580201042,187.17136424357054,186.11122327692686,185.15159426931658,218.61088587678302
ROE,211.43009937293687,187.73938181436716,181.5053593545899,180.24147132194759,172.95428475306127,169.93769106674688,164.80294080739512,195.43665805402614,160.3196627854192,157.5506342743536,156.50351208112878,234.16959671493854,210.98410188560428,208.7099704196763,185.16324033615655
ROW,436.6231791448657,311.22779472794014,293.3367659276087,279.860580550941,268.7964614296504,237.28516804517548,241.10333278118114,234.48139641416716,207.3149941043744,189.01647763870244,186.06318584036666,243.67473157314524,210.642419236795,176.50142736218606,251.1377081983642
USA,183.30821122637175,179.38214852471071,171.50146858251003,161.1039666884543,180.40702430337714,171.1071785377807,170.9237829477144,178.3635825014725,178.66884399956623,191.13435321322515,205.51269382462561,178.714899550953,167.65249122033677,155.45776054858212,176.65988611926286
