location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,0.8397651698166321,0.8822105228384963,0.9285880394937588,0.9247683046673593,1.0193458504290118,1.053179773824839,1.0647346163732818,1.1066328182615848,0.9664809640430958,0.9735529068342164,0.9615431060338563,0.6323165404103558,0.5197215749673519,0.4878738909053894
AUT,0.01536710666314453,0.043160124845520086,0.04554599257824267,0.04593888936992479,0.0463386236945036,0.04670570069995346,0.04709206926967395,0.04744394396213875,0.033624096814352196,0.03489318807179977,0.04008379929962819,0.038214106857242074,0.040807560491795285,0.04114930584455804
BRA,0.0,0.0,0.0,0.0015794549416866316,0.013876902446169468,0.013893331879743048,0.01374612896604701,0.013646297782130416,0.01735673243051126,0.01740629348676244,0.01746096259140169,0.01754039509751058,0.024567118331699778,0.02464403850699084
CHN,5.030795462022181e-05,3.925877019011321e-05,2.886653192113946e-05,0.007078805606819155,0.007950626779611236,0.0062357501069598255,0.01736929777199353,0.029290715141069207,0.03910359807516745,0.05852111478984273,0.065299546068648,0.05503439431465486,0.06318229914086326,0.06702337247103142
CZE,0.9478911652688258,1.468231250977876,1.9664511725714662,2.3586036255561034,2.803254721911461,1.6228564261167036,1.6435446473417863,1.6421591956381572,1.804326136575814,2.044057862257372,2.332435290042954,1.941836458895215,1.6716035179522597,1.6453760720046142
DEU,0.0451702060216032,0.04579597521042056,0.0466963109402795,0.04746596259548419,0.0338648958820324,0.006609407890476373,0.002698551196240705,0.0030312985805464343,0.03386780556366744,0.06964444415665981,0.10065468191333912,0.15537448333853096,0.19978686323632752,0.2487950105864531
ITA,0.1038149147853373,0.11705136050646994,0.12721486499694248,0.1326075749780758,0.15747765010096365,0.18697244998426793,0.22199920291787814,0.1983738207078633,0.18142027488972515,0.16616468510029128,0.17222430853758985,0.15696424086706165,0.16026635398263409,0.14279065191938564
JPN,0.01038894366122954,0.010457213680117101,0.010562291727348981,0.021627447240770314,0.021846587994434664,0.0220580370412542,0.022278482022967495,0.026874222312120815,0.016324257241315553,0.017273472280946306,0.04900734630900029,0.06144960402019419,0.10615225669586897,0.10186377713930568
KOR,0.037064000025440594,0.040856718638938985,0.04492347274405311,0.06396556325287889,0.06426640161240141,0.06476937399192713,0.06967791898432298,0.07040958524015883,0.07840295877706206,0.07921413215256998,0.0912961346764589,0.09306987678027524,0.10018030942162441,0.10763382260368705
ROE,0.020759224003474703,0.02258765236048435,0.027276003905366948,0.02940189434354458,0.035420673150805874,0.04080294435293722,0.047895868273910486,0.05345217686214066,0.05693802913848382,0.06039299264017767,0.060610792598892266,0.06819578985141586,0.07033415464836736,0.06613584046384006
ROW,0.023518983203653154,0.028328884874468024,0.0337227255802677,0.039748185124077115,0.04671816732106978,0.053690014175341055,0.0579804992983857,0.06252704128766605,0.05996570624502431,0.06143297196733268,0.06212516510525321,0.05268961581125025,0.05405610846318294,0.052002934289046
TOTAL,0.061439710184951084,0.07279538824908724,0.08591019602807544,0.10062774708911858,0.11546507722520583,0.1326841512407337,0.14869813466213588,0.16325899296643095,0.1696336735550598,0.1783162198182191,0.19055220653961824,0.18574004529514843,0.19267301925467648,0.1879687696000429
USA,0.17552414152371176,0.21175112079212485,0.2530452356921929,0.3000128032008104,0.33440413896919047,0.361219209308709,0.39695349526643364,0.43124870198144105,0.4712763556616461,0.5093709164346981,0.562267912719812,0.6146719638970479,0.6712876014460945,0.7178831035625857
