location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Compressor,20471.58564,20471.58564,20471.58564,20471.585639999998,32976.003840000005,32976.003840000005,32976.00384000001,32976.00384000001,32976.00384,32976.00384,32976.00384,20471.58564,20471.585639999998,20471.58564,26723.794740000005
AUS,Copper_ore,2.97144592,2.97144592,2.97144592,2.9714459200000003,1.4341385308186776,1.4341068807216732,1.6216406908465328,3.2288482380502375,3.228736494720817,3.228685477892128,3.2286373331986686,3.227767477502861,3.2276384927036417,3.2275683676604947,2.7838251188654093
AUS,HP,36037.58980000001,36037.5898,36037.58980000001,36037.5898,37309.172821733686,37302.48743892964,36353.446861989505,36037.58994494883,37314.586702227476,36037.5899431597,36037.58993743387,36037.590339826944,36037.59040028921,36037.59046064589,36332.542432227485
AUS,Nickel,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.804321239999999,6.917442039999998,7.256804439999997,7.48304604,7.773928097142857,8.161770839999997,8.463426306666666,7.17792769170068
AUS,Refrigerant,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.001,15111.000999999998,15111.001,15111.001000000002,15111.000999999998,15111.001,15111.001000000002,15111.000999999995
AUT,Compressor,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.99676,3383.996760000001
AUT,Copper_ore,0.001,0.001,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999833,0.0009999999999999857
AUT,HP,,,,,,,,,,3599.7916000000005,3599.7916000000005,3599.7915999999996,3599.7915999999996,3599.7916,3599.7916000000005
AUT,Nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT,Refrigerant,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.8809999999999
AUT,Bauxite,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000001,1.8396000000000003
AUT,HEX,,3915.00388,3915.00388,3915.00388,3915.00388,3915.00388,3915.00388,3915.00388,,,,,,,3915.00388
AUT,Iron,1.6381126,1.6381126,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381125999999997,1.6381126,1.6381126000000001,1.6381126,1.6381125999999997
BRA,Copper_ore,,,,1.6814220400000002,1.6814220399999997,1.6814775641762292,1.68142204,3.549934865133032,3.549737764703765,3.54973529587896,3.54973529587896,3.54973529587896,3.5496734946530797,3.5496734946530797,2.8703608355414603
BRA,Refrigerant,,,,16722.841000000015,16722.841000000004,16722.841000000004,16722.841000000004,16722.841000000004,16722.841,16722.841,16722.841,16722.841,16722.841000000004,16722.841000000004,16722.841000000004
CHN,Copper_ore,1.5719045200000001,1.5722426519881398,1.5730143962414083,1.5754608021423329,,,,1.577064243149785,1.5729581340447831,1.5719045200000001,1.6106235485983433,1.6893826432118617,1.9361858703427173,2.2690945378170726,1.683621442503313
CHN,Nickel,5.14280328,5.142803279999999,5.139506366400001,5.360512854705884,5.540200781860466,5.657689041923078,5.7629389415625,5.834952030789474,6.200588908636363,6.202800860400001,6.204538822500001,6.206249415118111,6.21902184,6.219021839999999,5.773830590278275
CHN,Bauxite,,,,,,,,,,,16.863000000000003,19.3832240664159,20.988347805919894,21.618369441069856,19.713235328351413
CHN,HEX,,,,22379.13916,22379.13915999999,22585.121677474446,22379.139160000002,22379.13916,22379.13916,22379.13916,22379.139160000002,22540.951457734638,22379.13916,22379.139160000002,22412.57505229173
CZE,Compressor,4444.9992,5080.190197688443,5490.760391999999,5490.760391999999,18139.851839999996,29862.136444513424,31941.292443294533,33720.92424566859,33842.84964,33842.84964,33842.84964,18616.024841370443,15012.4938,,20717.537132041183
