location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Aluminium,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS,Bauxite,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000007
AUS,Compressor,56000.0,55600.0,55100.0,54600.0,54200.0,53700.0,53200.0,52800.0,52300.0,51900.0,51400.0,51000.0,105785.71428571429,56176.64233576643,57411.59690153434
AUS,HEX,30159.999999999996,29699.999999999996,28899.999999999996,28599.999999999996,28199.999999999996,27799.999999999996,27400.0,27000.0,59700.0,26300.0,34571.42857142857,25600.0,32800.0,31566.666666666668,31307.00680272109
AUS,HP,60206.98120000001,60006.98120000001,59906.98120000001,73409.4812,64042.981199999995,63668.519661538456,63306.98119999999,59006.98119999999,66627.6708551724,62386.9812,62165.04571612903,121486.98120000001,72281.98120000001,70606.98120001823,68507.96638806131
AUS,Iron,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.17089192,35.17089192,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995
AUS,Steel,495.59999592000014,495.59999592000014,495.59999592000014,495.59999592,495.59999591999997,495.5999959200001,495.59999592,495.59999592,495.59999592,495.5999959200001,495.5999959200001,495.5999959200001,495.59999592,495.59999592000014,495.59999591999997
AUT,Aluminium,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT,Bauxite,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000014
AUT,Copper,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997,352.50239999999997
AUT,Copper_ore,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004,3812.4746400000004
AUT,HEX,46430.00000004095,45200.0,89099.99999990169,41800.0,40700.0,39600.0,38600.0,37600.0,71036.22343211534,43051.57499998364,34800.0,59566.66666661205,33000.0,51349.999999959036,47988.17607847234
AUT,HP,152034.006,85034.006,63534.006,63234.006,62934.006,62734.006,62434.006,62234.006,61934.006,61634.006,61434.006,61134.006,60934.006,60634.006,70134.00600000002
AUT,Steel,495.59999592,495.5999959200001,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.5999959200001,495.5999959200001,495.59999592,495.5999959199999
BRA,Aluminium,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999996
BRA,Bauxite,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000014
BRA,Compressor,,,,4751859.945180707,499573.3333333333,392662.3594009902,114821.7875332541,68153.12162737906,48720.529801324505,48200.0,48000.0,47700.0,47500.0,47300.0,555862.8251706352
BRA,Copper,,,,,,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628
BRA,Copper_ore,,,,,,2098.38792,2098.38792,2098.38792,2098.38792,2098.38792,2098.38792,2098.38792,2098.38792,2098.38792,2098.3879200000006
