location,time_operation,lcohp,scenario
AUS,0,149.35392811558276,S2
AUS,1,148.38123210397083,S2
AUS,2,146.74258613422978,S2
AUS,3,141.15794950112246,S2
AUS,4,160.41031588807257,S2
AUS,5,159.55481725555268,S2
AUS,6,159.04686576681524,S2
AUS,7,164.17358080198275,S2
AUS,8,198.68138226226145,S2
AUS,9,164.21152690255036,S2
AUS,10,172.93321044828494,S2
AUS,11,153.86599196242796,S2
AUS,12,150.85289937383712,S2
AUS,13,143.91070454541332,S2
AUT,0,318.0960065864237,S2
AUT,1,227.00057945015345,S2
AUT,2,225.88740207910357,S2
AUT,3,202.65406874581393,S2
AUT,4,200.05406874581394,S2
AUT,5,197.56517985692506,S2
AUT,6,195.00962430136948,S2
AUT,7,192.66517985692505,S2
AUT,8,240.8997361912626,S2
AUT,9,202.7154156288632,S2
AUT,10,180.76413144951528,S2
AUT,11,197.0547587010317,S2
AUT,12,165.70993118765972,S2
AUT,13,181.55233676955083,S2
BRA,0,37.67838988155,S2
BRA,1,37.50838988155,S2
BRA,2,37.108389881549996,S2
BRA,3,4980.266524368382,S2
BRA,4,715.9095597210095,S2
BRA,5,506.2335978923383,S2
BRA,6,229.0150921441676,S2
BRA,7,188.2432615736576,S2
BRA,8,212.20917682523958,S2
BRA,9,168.39376449380504,S2
BRA,10,167.99376449380503,S2
BRA,11,167.49376449380503,S2
BRA,12,224.6895761721588,S2
BRA,13,166.82290950549216,S2
CHN,0,120.66579322543325,S2
CHN,1,121.14457805377354,S2
CHN,2,120.59244041603478,S2
CHN,3,118.53786942253161,S2
CHN,4,123.28026973369306,S2
CHN,5,123.79179073587048,S2
CHN,6,129.3149167827729,S2
CHN,7,126.33895372264246,S2
CHN,8,122.18170657381528,S2
CHN,9,123.92523877165048,S2
CHN,10,116.34775401333397,S2
CHN,11,110.98134935857743,S2
CHN,12,115.37934147379393,S2
CHN,13,115.72836409195006,S2
CZE,0,236.48478902681384,S2
CZE,1,234.61361896495598,S2
CZE,2,231.5961441620863,S2
CZE,3,218.19625766394273,S2
