location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,149.35392811558276,148.38123210397083,146.74258613422978,141.15794950112246,160.41031588807257,159.55481725555268,159.04686576681524,164.17358080198275,198.68138226226145,164.21152690255036,172.93321044828494,153.86599196242796,150.85289937383712,143.91070454541332,158.09121364729316
AUT,318.0960065864237,227.00057945015345,225.88740207910357,202.65406874581393,200.05406874581394,197.56517985692506,195.00962430136948,192.66517985692505,240.8997361912626,202.7154156288632,180.76413144951528,197.0547587010317,165.70993118765972,181.55233676955083,209.11631568217223
BRA,37.67838988155,37.50838988155,37.108389881549996,4980.266524368382,715.9095597210095,506.2335978923383,229.0150921441676,188.2432615736576,212.20917682523958,168.39376449380504,167.99376449380503,167.49376449380503,224.6895761721588,166.82290950549216,559.9690115234652
CHN,120.66579322543325,121.14457805377354,120.59244041603478,118.53786942253161,123.28026973369306,123.79179073587048,129.3149167827729,126.33895372264246,122.18170657381528,123.92523877165048,116.34775401333397,110.98134935857743,115.37934147379393,115.72836409195006,120.5864547411338
CZE,236.48478902681384,234.61361896495598,231.5961441620863,218.19625766394273,205.5873721432358,228.694895796401,211.33888786091592,204.12549480974448,202.9134187745801,203.9338797858558,197.50804092525036,177.68747188821354,221.1585739960185,204.5003971206864,212.7385173513358
DEU,235.1968674825713,227.74135005765734,221.0982570649513,215.73313980349735,220.15241794160553,237.03217509685348,256.42564409870016,246.70098898352234,207.17188663527622,199.11349374111958,183.9449867243614,189.00560200578627,192.61877620565312,192.53422546678567,216.03355795059582
ITA,155.37923914939776,157.5338105155069,164.28950908577502,157.3192949319578,147.39169609028855,145.63058031168794,145.04063461321832,168.55194759105854,223.19382935241666,215.96868993506695,162.20726150305862,227.2493836740946,190.4242051046462,218.12897447662397,177.02207545248555
JPN,468.22864277040276,465.2139674455227,460.6500713416266,389.5175498632047,385.86117082681636,391.95503626021593,377.92422957438544,362.8784988303606,358.7130062187697,317.4941490296568,274.1209819124504,232.62363744086144,226.3874144813622,188.57082797942397,350.00994171250437
KOR,408.66865758868266,325.9480366457381,252.58004148237222,219.32617384801898,191.71318772194252,184.45038152761944,186.55272686166686,175.01236065052308,184.84462085057785,169.33265726196274,200.38795776445738,184.59103120581293,191.73493979788677,191.30959808452758,219.03231223512785
ROE,212.7683320176787,195.58523172911606,180.24084698391025,176.20118886791337,169.67135173829263,164.20587050708056,165.71516005311761,175.38705233675776,196.5492538521998,193.65117104623377,191.07476946906928,174.6988964492736,193.36993284377053,214.06820109921557,185.94194707097353
ROW,436.6231791448657,314.28559366946354,298.5253061784126,285.9407592608214,275.0382242397569,204.52651324629147,203.92547756728135,192.53743802463285,194.02470148545177,200.84081679221705,190.5469814415801,257.0241733905804,182.8470981930779,177.53174371037258,243.8727147389147
USA,183.30821122637178,178.29709415916457,171.77655572229568,161.4489418100204,176.78272239862017,173.7683616294879,176.4943433295144,178.93838708586208,174.36162673473245,165.09528451532154,160.8466130463959,159.56990528324513,155.1664475976313,153.57124629535514,169.24469577385847
