location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Aluminium,0,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,1,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,2,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,3,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,4,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,5,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,6,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,7,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,8,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,9,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,10,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,11,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,12,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Aluminium,13,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,S2
AUS,Bauxite,0,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,1,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,2,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,3,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,4,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,5,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,6,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,7,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,8,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,9,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,10,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,S2
AUS,Bauxite,11,7504.3416,244.76,30.66,0.0,0.0,,30.66,7504.3416,,S2
AUS,Bauxite,12,7504.3416,244.76,30.66,0.0,0.0,,30.66,7504.3416,,S2
AUS,Bauxite,13,7504.3416,244.76,30.66,0.0,0.0,,30.66,7504.3416,,S2
AUS,Compressor,0,72800.0,1.3,56000.0,16581.984368399997,0.8099999999999998,48471.585640000005,28400.57665784776,59925.21674805877,1.6049382716049387,S2
AUS,Compressor,1,72280.0,1.3,55600.0,16581.984368399997,0.8099999999999998,48471.585640000005,28248.738199592102,59604.837601139334,1.6049382716049387,S2
AUS,Compressor,2,71630.0,1.3,55100.0,16581.984368399997,0.8099999999999998,48071.585640000005,27999.992663777546,59079.984520570615,1.6049382716049387,S2
AUS,Compressor,3,70980.0,1.3,54600.0,22518.744204,1.1,47771.58564,26055.14212229166,62532.3410935,1.1818181818181817,S2
AUS,Compressor,4,70460.0,1.3,54200.0,39571.204608,1.2,86030.47316652336,34477.10101756698,86192.75254391745,1.0833333333333335,S2
AUS,Compressor,5,69810.0,1.3,53700.0,42868.804992000005,1.3,83176.00384,34219.00096,88969.402496,1.0,S2
AUS,Compressor,6,69160.0,1.3,53200.0,46166.40537600001,1.4,82576.00384000002,34534.5634466941,93243.32130607407,0.9285714285714287,S2
AUS,Compressor,7,68640.0,1.3,52800.0,46166.40537600001,1.4,81976.00384000002,34280.51680746228,92557.39538014815,0.9285714285714287,S2
AUS,Compressor,8,67990.0,1.3,52300.0,52761.606144,1.6,81476.00383999999,35311.007114197375,102401.9206311724,0.8125,S2
AUS,Compressor,9,67470.0,1.3,51900.0,56059.206527999995,1.7,80876.00384,35715.850121955555,107147.55036586667,0.7647058823529412,S2
AUS,Compressor,10,66820.0,1.3,51400.0,59356.806912,1.8,80376.00384,36137.7994216025,112027.17820696776,0.7222222222222222,S2
AUS,Compressor,11,66300.0,1.3,51000.0,116688.038148,5.7,45371.585640000005,31843.11872333878,222901.83106337144,0.22807017543859648,S2
AUS,Compressor,12,130795.0,2.59,105785.71428571429,110751.2783124,5.41,45171.58564,31745.43180734506,253963.45445876048,0.47874306839186687,S2
AUS,Compressor,13,137274.0,2.74,56176.64233576643,128152.1261064,6.26,44871.58564,26915.57419044523,242240.16771400708,0.43769968051118213,S2
AUS,Copper,0,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,0,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,1,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,1,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,2,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,2,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,3,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,3,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,4,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,4,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,5,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,5,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,6,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,6,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,7,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,7,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,8,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,8,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,9,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,9,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,10,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,10,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,11,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,11,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,12,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,12,0.0,0.0,,0.0,0.0,,,0.0,,S2
AUS,Copper,13,0.0,0.0,,0.0,0.0,,,0.0,,S2
