commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.3482233236154112,0.3600864466414023,0.37157084053192474,0.38467492877894605,0.39691281762981573,0.4104979977461089,0.42044575014456637,0.4327930043614487,0.4272002474181196,0.4423487907038705,0.45456457558444036,0.46754826555561024,0.47625803211322976,0.48583693783896303,0.4199258541902755
Bauxite,0.07118657695885418,0.06573169815532812,0.06056075169053291,0.055670019487143875,0.05105540599659164,0.04671234631650686,0.042635732383810555,0.038819848064056604,0.03525832643720909,0.031944119601008944,0.05050037929751687,0.11554898310788549,0.1787876165227506,0.23689842413426387,0.07723644486810424
Compressor,0.0389186486117429,0.04647552353674626,0.06643043081523563,0.0740365154287433,0.09881213722990309,0.13396981767988705,0.1542967470277906,0.16858160728459393,0.160854669506667,0.14973769421076202,0.15638437073470535,0.12539812515615692,0.09912910908727776,0.08158987197132425,0.11104394773439541
Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copper_ore,0.0004065766423287131,0.00038385881039206785,0.000361530679182416,0.000335649195292424,0.000319844610868254,0.00029409533546530015,0.0002639505694171359,0.00029891398926579617,0.0003385915175585701,0.0003643311489714669,0.0003858921444533601,0.00037740032952290317,0.00040787566875807613,0.0004067399449598426,0.0003532321847454519
HEX,0.08117881686951654,0.08463671624952789,0.10741247756752963,0.13121453103392422,0.155743084046933,0.17993340791857376,0.2063001508561172,0.23641850783922738,0.21693362877592426,0.2307932222374531,0.2474515585716193,0.20009240422405805,0.22096674725259224,0.2201669677597026,0.17994587294304992
HP,0.08131741081027846,0.10718291369289278,0.10575996262092714,0.12327348048043181,0.10857950874848345,0.10080541834450824,0.11460341909869359,0.12553835071651157,0.14553092130922854,0.1685953833823175,0.1763451215235538,0.2045845971114874,0.22852727044765125,0.20918127827208735,0.14284464546850378
Iron,0.07798303181696767,0.07940678352924076,0.08703083779979882,0.09821065666944755,0.10283832694670139,0.09851467997984836,0.0923787178859219,0.08834883442717077,0.09097385317180684,0.0866815568711298,0.09147526166657535,0.09070422501688426,0.1007797157978399,0.09189633574719308,0.09123020123760904
Nickel,0.0002875704222686883,0.00027970755465196614,0.00027806786768401996,0.0002805492360633522,0.0002814023612514296,0.00028081029774646923,0.00028364696789455956,0.0002846369410527506,0.00030545069877134176,0.0003048589659320206,0.0003105222090573845,0.00031806111513767166,0.0003193414064588632,0.000346927505858067,0.000297253824987756
Steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021776787749606206,0.0006539745138269656,0.0007334898052571992,0.00011465944261287334
