on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,power,DEU,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,DEU,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ITA,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,JPN,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,3,1.0,1.0,1.0,1.0,1.0,1.0
