location,time_operation,lcohp,scenario
AUS,0,144.56302871645582,S3
AUS,1,143.5903327048439,S3
AUS,2,146.6920083056278,S3
AUS,3,141.15794950112246,S3
AUS,4,150.9457302615623,S3
AUS,5,149.10024565745647,S3
AUS,6,147.86057284671944,S3
AUS,7,149.48850863683353,S3
AUS,8,198.12734495859223,S3
AUS,9,171.69383481272877,S3
AUS,10,171.8313043007678,S3
AUS,11,156.81117618132944,S3
AUS,12,146.61650586744136,S3
AUS,13,144.57685335938328,S3
AUT,0,299.5530118992987,S3
AUT,1,206.79350666446936,S3
AUT,2,207.43811217856398,S3
AUT,3,205.45177345761812,S3
AUT,4,198.8539347866031,S3
AUT,5,196.39171256438087,S3
AUT,6,197.764662346507,S3
AUT,7,195.20012268802552,S3
AUT,8,259.12484219716697,S3
AUT,9,258.7910305586884,S3
AUT,10,223.4034745902553,S3
AUT,11,217.8383656662842,S3
AUT,12,207.84964932229562,S3
AUT,13,199.42607342057246,S3
BRA,0,37.67838988155,S3
BRA,1,37.50838988155,S3
BRA,2,37.108389881549996,S3
BRA,3,4980.266524368251,S3
BRA,4,715.9095597210091,S3
BRA,5,480.6549101134541,S3
BRA,6,272.42836672092983,S3
BRA,7,181.95612798692633,S3
BRA,8,168.79376599956987,S3
BRA,9,168.3937659995699,S3
BRA,10,167.9937659995699,S3
BRA,11,167.4937659995699,S3
BRA,12,224.68957750185496,S3
BRA,13,166.82291083518828,S3
CHN,0,116.83161049237361,S3
CHN,1,115.30335201206057,S3
CHN,2,114.37853638182766,S3
CHN,3,110.80297141079171,S3
CHN,4,114.37385647262879,S3
CHN,5,123.91258223507961,S3
CHN,6,124.0368446959442,S3
CHN,7,124.44207028648418,S3
CHN,8,117.3556971645973,S3
CHN,9,115.66031896006675,S3
CHN,10,115.52606906863981,S3
CHN,11,109.42714941343655,S3
CHN,12,111.0143833965009,S3
CHN,13,109.27416725742323,S3
CZE,0,234.57185452514136,S3
CZE,1,229.68848371848898,S3
CZE,2,224.4751971263212,S3
CZE,3,211.52699142761173,S3
CZE,4,202.63546017068992,S3
CZE,5,217.52164343582416,S3
CZE,6,217.96572122407227,S3
CZE,7,212.28234202962318,S3
CZE,8,216.7489311505491,S3
CZE,9,202.38536576573404,S3
CZE,10,214.66334200698202,S3
CZE,11,179.53461284150816,S3
CZE,12,296.36336586334494,S3
CZE,13,202.09830209226692,S3
DEU,0,213.33250917320777,S3
DEU,1,205.02171794349286,S3
DEU,2,202.52141138808057,S3
DEU,3,220.74872753765246,S3
DEU,4,215.78152008097678,S3
DEU,5,212.7255088198377,S3
DEU,6,226.4073607224429,S3
DEU,7,205.85018422223237,S3
DEU,8,285.16474246416084,S3
DEU,9,193.95166776456824,S3
DEU,10,175.45716217690602,S3
DEU,11,160.3117387497037,S3
DEU,12,199.66892295530204,S3
DEU,13,170.78001635541509,S3
ITA,0,151.28774075113213,S3
ITA,1,151.94857779747548,S3
ITA,2,143.23799160674787,S3
ITA,3,137.59240156460655,S3
ITA,4,133.34577109349334,S3
ITA,5,131.34369137712355,S3
ITA,6,130.8216750973822,S3
ITA,7,172.54853631620955,S3
ITA,8,167.7079503809209,S3
ITA,9,172.73939862074369,S3
ITA,10,155.60089542509084,S3
ITA,11,278.90154352346855,S3
ITA,12,206.31384460069572,S3
ITA,13,226.54640434662747,S3
JPN,0,463.44048954607933,S3
JPN,1,460.4258142211993,S3
JPN,2,460.65196293744884,S3
JPN,3,389.36673175974477,S3
JPN,4,385.33844448463844,S3
JPN,5,381.3589532848782,S3
JPN,6,377.65345988735976,S3
JPN,7,388.79526125078354,S3
JPN,8,348.61423236630077,S3
JPN,9,273.1740683176941,S3
JPN,10,190.89234964692852,S3
JPN,11,182.16163792238987,S3
JPN,12,212.6723330802392,S3
JPN,13,217.8833039236371,S3
KOR,0,404.7639761931062,S3
KOR,1,336.85653176304015,S3
KOR,2,249.15598150585436,S3
KOR,3,214.50898974995138,S3
KOR,4,186.6843381382328,S3
KOR,5,180.69710272739596,S3
KOR,6,175.12652965129857,S3
KOR,7,169.997891917667,S3
KOR,8,176.72976397212705,S3
KOR,9,176.26231133594996,S3
KOR,10,216.66493322092063,S3
KOR,11,170.3815410687191,S3
KOR,12,176.15055239017966,S3
KOR,13,185.15159531959796,S3
ROE,0,211.55366311019006,S3
ROE,1,187.86294555162033,S3
ROE,2,181.6289230918431,S3
ROE,3,180.36503505920075,S3
ROE,4,173.07784849031447,S3
ROE,5,170.06125480400004,S3
ROE,6,164.9265045446483,S3
ROE,7,197.57543584001658,S3
ROE,8,161.94597685814037,S3
ROE,9,157.92616834519583,S3
ROE,10,158.6389834154289,S3
ROE,11,230.96482328189478,S3
ROE,12,221.8693808232965,S3
ROE,13,213.78731937759994,S3
ROW,0,431.55896694391953,S3
ROW,1,306.16358252699393,S3
ROW,2,293.0128752971875,S3
ROW,3,279.5366899205198,S3
ROW,4,268.0170669335118,S3
ROW,5,234.0395732307609,S3
ROW,6,221.76336021643894,S3
ROW,7,219.4105030441436,S3
ROW,8,207.3149941043744,S3
ROW,9,189.4701820889793,S3
ROW,10,185.62001193627893,S3
ROW,11,257.3363176825504,S3
ROW,12,184.79319355922755,S3
ROW,13,176.50142736218606,S3
USA,0,183.22331015872052,S3
USA,1,179.29724745705948,S3
USA,2,171.50146858251003,S3
USA,3,161.1039666884543,S3
USA,4,180.4070243034016,S3
USA,5,171.10717853779357,S3
USA,6,170.57625072188702,S3
USA,7,171.09427680978737,S3
USA,8,164.98468331783968,S3
USA,9,179.89460117646234,S3
USA,10,203.96480120890462,S3
USA,11,178.7149002085286,S3
USA,12,167.6524918779124,S3
USA,13,155.4577612061577,S3
