technology,carrier,location,time_operation,total_production,scenario_x,opex,scenario_y,capacity_type,capex,scenario,total_production_cost,opex_cost,production_cost_per_unit,opex_per_unit,commodity
Nickel_mining,Nickel,ROW,4,7.090411799999986,S3,59321.19065294091,S3,power,0.0,S3,59321.19065294091,59321.19065294091,8366.395680000001,8366.395680000001,Nickel
Nickel_mining,Nickel,ROW,5,15.724067399999988,S3,131553.76956738872,S3,power,0.0,S3,131553.76956738872,131553.76956738872,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,ROW,6,25.42841879999999,S3,212744.21319755068,S3,power,0.0,S3,212744.21319755068,212744.21319755068,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,ROW,7,36.358917599999984,S3,304193.09113811585,S3,power,0.0,S3,304193.09113811585,304193.09113811585,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,ROW,8,48.69543,S3,407405.23518774245,S3,power,0.0,S3,407405.23518774245,407405.23518774245,8366.395680000001,8366.395680000001,Nickel
Nickel_mining,Nickel,ROW,9,62.646236999999985,S3,524123.206605056,S3,power,0.0,S3,524123.206605056,524123.206605056,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,ROW,10,78.45267959999998,S3,656366.159689864,S3,power,0.0,S3,656366.159689864,656366.159689864,8366.395680000001,8366.395680000001,Nickel
Nickel_mining,Nickel,ROW,11,96.3945978,S3,806475.3466092575,S3,power,0.0,S3,806475.3466092575,806475.3466092575,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,ROW,12,116.79666059999995,S3,977167.076682266,S3,power,0.0,S3,977167.076682266,977167.076682266,8366.395680000001,8366.395680000001,Nickel
Nickel_mining,Nickel,ROW,13,140.03577539999998,S3,1171594.70635201,S3,power,0.0,S3,1171594.70635201,1171594.70635201,8366.39568,8366.39568,Nickel
Nickel_mining,Nickel,USA,0,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,1,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,2,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,3,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,4,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,5,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,6,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,7,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,8,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,9,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,10,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,11,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,12,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_mining,Nickel,USA,13,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,0,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,1,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,2,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,3,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,4,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,5,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,6,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,7,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,8,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,9,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,10,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,11,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,12,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUS,13,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUT,0,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUT,1,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,AUT,2,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,3,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,4,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,5,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,6,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,7,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,8,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,9,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,10,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,11,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,12,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,AUT,13,0.0699999999999999,S3,544.8490488,S3,power,0.0,S3,544.8490488,544.8490488,7783.557840000011,7783.557840000011,Nickel
Nickel_recycling,Nickel,BRA,0,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,BRA,1,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
Nickel_recycling,Nickel,BRA,2,0.0,S3,0.0,S3,power,0.0,S3,0.0,0.0,,,Nickel
