location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,144.56302871645582,143.5903327048439,146.6920083056278,141.15794950112246,150.9457302615623,149.10024565745647,147.86057284671944,149.48850863683353,198.12734495859223,171.69383481272877,171.8313043007678,156.81117618132944,146.61650586744136,144.57685335938328,154.50395686506175
AUT,299.5530118992987,206.79350666446936,207.43811217856398,205.45177345761812,198.8539347866031,196.39171256438087,197.764662346507,195.20012268802552,259.12484219716697,258.7910305586884,223.4034745902553,217.8383656662842,207.84964932229562,199.42607342057246,219.56287659576637
BRA,37.67838988155,37.50838988155,37.108389881549996,4980.266524368251,715.9095597210091,480.6549101134541,272.42836672092983,181.95612798692633,168.79376599956987,168.3937659995699,167.9937659995699,167.4937659995699,224.68957750185496,166.82291083518828,557.6927293493245
CHN,116.83161049237361,115.30335201206057,114.37853638182766,110.80297141079171,114.37385647262879,123.91258223507961,124.0368446959442,124.44207028648418,117.3556971645973,115.66031896006675,115.52606906863981,109.42714941343655,111.0143833965009,109.27416725742323,115.88140066056107
CZE,234.57185452514136,229.68848371848898,224.4751971263212,211.52699142761173,202.63546017068992,217.52164343582416,217.96572122407227,212.28234202962318,216.7489311505491,202.38536576573404,214.66334200698202,179.53461284150816,296.36336586334494,202.09830209226692,218.74725809843986
DEU,213.33250917320777,205.02171794349286,202.52141138808057,220.74872753765246,215.78152008097678,212.7255088198377,226.4073607224429,205.85018422223237,285.16474246416084,193.95166776456824,175.45716217690602,160.3117387497037,199.66892295530204,170.78001635541509,206.26594216814138
ITA,151.28774075113213,151.94857779747548,143.23799160674787,137.59240156460655,133.34577109349334,131.34369137712355,130.8216750973822,172.54853631620955,167.7079503809209,172.73939862074369,155.60089542509084,278.90154352346855,206.31384460069572,226.54640434662747,168.5668873215513
JPN,463.44048954607933,460.4258142211993,460.65196293744884,389.36673175974477,385.33844448463844,381.3589532848782,377.65345988735976,388.79526125078354,348.61423236630077,273.1740683176941,190.89234964692852,182.16163792238987,212.6723330802392,217.8833039236371,338.03064590209436
KOR,404.7639761931062,336.85653176304015,249.15598150585436,214.50898974995138,186.6843381382328,180.69710272739596,175.12652965129857,169.997891917667,176.72976397212705,176.26231133594996,216.66493322092063,170.3815410687191,176.15055239017966,185.15159531959796,215.6522884967172
ROE,211.55366311019006,187.86294555162033,181.6289230918431,180.36503505920075,173.07784849031447,170.06125480400004,164.9265045446483,197.57543584001658,161.94597685814037,157.92616834519583,158.6389834154289,230.96482328189478,221.8693808232965,213.78731937759994,186.58459018524215
ROW,431.55896694391953,306.16358252699393,293.0128752971875,279.5366899205198,268.0170669335118,234.0395732307609,221.76336021643894,219.4105030441436,207.3149941043744,189.4701820889793,185.62001193627893,257.3363176825504,184.79319355922755,176.50142736218606,246.7527674890766
USA,183.22331015872052,179.29724745705948,171.50146858251003,161.1039666884543,180.4070243034016,171.10717853779357,170.57625072188702,171.09427680978737,164.98468331783968,179.89460117646234,203.96480120890462,178.7149002085286,167.6524918779124,155.4577612061577,174.21285444681567
