location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
ITA,Compressor,11,7.0,1252560.0,178937.14285714287,449400.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1252560.0,178937.14285714287,0.0
ITA,Compressor,12,8.28,695796.0,84033.33333333334,519155.99999999994,0.0,0.0,0.0,0.0,0.0,8.28,1.0,0.0,695796.0,84033.33333333334,0.0
ITA,Compressor,13,9.74,796594.0000000001,81785.8316221766,595114.0,0.0,0.0,0.0,0.0,0.0,9.74,1.0,0.0,796594.0000000001,81785.8316221766,0.0
ITA,Copper,0,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ITA,Copper,1,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ITA,Copper,2,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ITA,Copper,3,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,3,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,4,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,4,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,5,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,5,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,6,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,6,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,7,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,7,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,8,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,8,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,9,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,9,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,10,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,10,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,11,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,11,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,12,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,12,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper,13,0.375,97.322622165,259.52699244,97.322622165,0.0,0.0,0.0,0.0,0.0,0.375,1.0,0.0,97.322622165,259.52699244,0.0
ITA,Copper,13,1.0,348.3852,348.3852,348.3852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,348.3852,348.3852,0.0
ITA,Copper_ore,0,0.0,0.0,,0.0,13.288725000000005,0.0,0.013288725,0.013288725,0.013288725,13.288725000000005,0.0,1.0,0.013288725,0.0009999999999999996,
ITA,Copper_ore,1,0.0,0.0,,0.0,17.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.0,1.0,0.017665025,0.001,
ITA,Copper_ore,2,0.0,0.0,,0.0,17.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.0,1.0,0.017665025,0.001,
ITA,Copper_ore,3,1.0,3923.57772,3923.57772,3923.57772,16.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.05660903395268334,0.9433909660473166,222.1266093924719,12.574372772892872,4.502274775890001e-06
ITA,Copper_ore,4,1.0,3923.57772,3923.57772,3923.57772,16.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.05660903395268334,0.9433909660473166,222.1266093924719,12.574372772892872,4.502274775890001e-06
ITA,Copper_ore,5,1.0,3923.57772,3923.57772,3923.57772,16.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.05660903395268334,0.9433909660473166,222.1266093924719,12.574372772892872,4.502274775890001e-06
ITA,Copper_ore,6,1.0,3923.57772,3923.57772,3923.57772,16.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.05660903395268334,0.9433909660473166,222.1266093924719,12.574372772892872,4.502274775890001e-06
ITA,Copper_ore,7,1.0,3923.57772,3923.57772,3923.57772,16.665025,0.0,0.017665025,0.017665025,0.017665025,17.665025,0.05660903395268334,0.9433909660473166,222.1266093924719,12.574372772892872,4.502274775890001e-06
ITA,Copper_ore,8,1.0,3923.57772,3923.57772,3923.57772,21.108384640000057,0.0,0.02110838464,0.02110838464,0.02110838464,22.108384640000057,0.04523170807290593,0.9547682919270941,177.49027564874592,8.02818833392368,5.379881869652374e-06
ITA,Copper_ore,9,1.0,3923.57772,3923.57772,3923.57772,27.708025,0.0,0.027708025,0.027708025,0.027708025,28.708025,0.03483346555536301,0.965166534444637,136.69855222187527,4.761684310288683,7.061928417719733e-06
ITA,Copper_ore,10,1.0,3923.57772,3923.57772,3923.57772,28.935025,0.0,0.028935025,0.028935025,0.028935025,29.935025,0.03340568447829925,0.9665943155217007,131.09776777108925,4.379410665970356,7.374653202995555e-06
ITA,Copper_ore,11,1.0,3923.57772,3923.57772,3923.57772,37.22125,0.0,0.03722125,0.03722125,0.03722125,38.22125,0.02616345619256304,0.973836543807437,102.69060120879257,2.6867410461142054,9.486558609574323e-06
ITA,Copper_ore,12,1.0,3923.57772,3923.57772,3923.57772,44.27885,0.0,0.04427885,0.04427885,0.04427885,45.27885,0.022085366567392944,0.9779146334326071,86.69695313722241,1.9147339903116447,1.1285325068060587e-05
ITA,Copper_ore,13,1.0,3923.57772,3923.57772,3923.57772,52.328925,0.0,0.052328925,0.052328925,0.052328925,53.328925,0.018751549932799132,0.9812484500672009,73.62451120834811,1.380573698201269,1.3337043059771477e-05
ITA,HEX,0,2.6,117728.0,45280.0,117728.0,0.3300000000000005,31164.991139240556,7670.7153996000125,7670.7153996000125,38835.70653884057,2.9300000000000006,0.887372013651877,0.11262798634812302,108842.51984908442,37147.617695933244,0.06515625339426485
ITA,HEX,1,2.6,114660.0,44100.0,114660.0,1.4,101531.2851413928,32542.428968,32542.428968,134073.7141093928,4.0,0.65,0.35,121454.79993828747,30363.699984571867,0.28381675360195363
ITA,HEX,2,2.6,108680.0,41800.0,108680.0,1.4,80006.86366089954,32542.428968,32542.428968,112549.29262889954,4.0,0.65,0.35,110034.25242011483,27508.56310502871,0.29943346492454914
ITA,HEX,3,2.6,106080.0,40800.0,106080.0,1.4,64663.61312554098,32542.428968,32542.428968,97206.04209354098,4.0,0.65,0.35,102974.11473273934,25743.528683184835,0.3067725204374057
ITA,HEX,4,2.6,103220.0,39700.0,103220.0,1.4,52557.53736046715,32542.428968,32542.428968,85099.96632846716,4.0,0.65,0.35,96877.9882149635,24219.497053740874,0.31527251470645223
ITA,HEX,5,2.6,100620.0,38700.0,100620.0,1.4,43203.66378596286,32542.428968,32542.428968,75746.09275396286,4.0,0.65,0.35,91914.132463887,22978.53311597175,0.3234190913138541
ITA,HEX,6,2.6,98020.0,37700.0,98020.0,1.4,37380.0,32542.428968,32542.428968,69922.428968,4.0,0.65,0.35,88185.8501388,22046.4625347,0.3319978470516221
ITA,HEX,7,4.0,250400.0,62600.0,146800.0,0.0,0.0,1400.0,1400.0,1400.0,4.0,1.0,0.0,250400.0,62600.0,0.005591054313099041
ITA,HEX,8,5.086396000000013,261977.64120000144,51505.55348030329,181584.33720000047,0.0,0.0,1400.0,1400.0,1400.0,5.086396000000013,1.0,0.0,261977.64120000144,51505.55348030329,0.005343967498856892
ITA,HEX,9,6.7,352566.695999999,52621.89492537299,233160.0,0.0,0.0,1400.0,1400.0,1400.0,6.7,1.0,0.0,352566.695999999,52621.89492537299,0.003970879881405486
ITA,HEX,10,7.0,259500.00000000006,37071.42857142858,237300.0,0.0,0.0,1400.0,1400.0,1400.0,7.0,1.0,0.0,259500.00000000006,37071.42857142858,0.0053949903660886304
ITA,HEX,11,7.0,231000.0,33000.0,231000.0,0.0,0.0,1400.0,1400.0,1400.0,7.0,1.0,0.0,231000.0,33000.0,0.006060606060606061
ITA,HEX,12,9.821100999999995,525000.9261999996,53456.422676031936,316239.4521999999,0.0,0.0,1400.0,1400.0,1400.0,9.821100999999995,1.0,0.0,525000.9261999996,53456.422676031936,0.0026666619621670317
ITA,HEX,13,25.0,1905738.526,76229.54104,782500.0,0.0,0.0,1400.0,1400.0,1400.0,25.0,1.0,0.0,1905738.526,76229.54104,0.0007346233394034875
ITA,HP,0,2.9300000000000006,230040.16047440004,78512.00016191126,230040.16047440004,1.0887919999999998,62710.640002967986,12411.515858998398,12411.515858998398,75122.15586196638,4.018792,0.7290748065587869,0.2709251934412131,188068.97010724968,46797.38839612741,0.05395369153543784
ITA,HP,1,4.0,264351.07232,66087.76808,264351.07232,0.7019869999999999,40221.41850312299,8002.1925257174,8002.1925257174,48223.611028840394,4.701987,0.8507041810196413,0.1492958189803587,232084.14598239053,49358.7383338981,0.03027108025508841
ITA,HP,2,4.0,263151.07232,65787.76808,263151.07232,1.5013240000000003,85720.38930439603,17114.110533044804,17114.110533044804,102834.49983744083,5.501324,0.7270976950275969,0.27290230497240303,219400.31016423425,39881.36495218865,0.06503530607784683
ITA,HP,3,4.0,261951.07232,65487.76808,261951.07232,2.4365500000000004,138631.23773495003,27775.074547060005,27775.074547060005,166406.31228201004,6.43655,0.6214509325648057,0.37854906743519434,225782.6925092995,35078.216204224234,0.10603153596993073
ITA,HP,4,4.0,261151.07232,65287.76808,261151.07232,3.5307630000000003,199828.93052162704,40248.3862563876,40248.3862563876,240077.31677801465,7.530763,0.5311546784834418,0.46884532151655817,251270.7406273565,33365.907362554964,0.15411916902669068
ITA,HP,5,4.0,259951.07232,64987.76808,259951.07232,4.810993,271323.3062432966,54842.1699617836,54842.1699617836,326165.47620508017,8.810993,0.4539783427361706,0.5460216572638293,296105.570864068,33606.37908395433,0.21097112419014313
ITA,HP,6,4.0,258751.07232,64687.76808,258751.07232,6.308861,353905.20404346904,71916.8843578172,71916.8843578172,425822.0884012862,10.308861,0.3880157080399086,0.6119842919600914,360995.909803559,35018.02088548473,0.27793849785046254
ITA,HP,7,4.0,257551.07232,64387.76808,257551.07232,8.061368,450602.490191672,91894.3166162336,91894.3166162336,542496.8068079056,12.061368,0.33163733997669254,0.6683626600233075,447998.16138463165,37143.22963901206,0.35680036502452406
ITA,HP,8,5.086396000000013,481621.7556110424,94688.21452577447,326484.4068110405,9.025403999999988,502683.6756227153,102883.69576546068,102883.69576546068,605567.371388176,14.1118,0.360435663770746,0.639564336229254,560892.951094071,39746.37899446357,0.21361928643553538
ITA,HP,9,6.7,658470.6973359982,98279.20855761167,428048.046136,9.810806,543484.599092374,111836.7642842312,111836.7642842312,655321.3633766052,16.510806,0.4057948473260482,0.5942051526739518,656599.3468698359,39767.85548021313,0.1698431908005835
ITA,HP,10,7.0,488654.37656,69807.76808,445814.37656,12.317643,668396.478581147,221247.6990873636,221247.6990873636,889644.1776685107,19.317643,0.3623630481213469,0.6376369518786531,744340.2910732582,38531.630958976624,0.45276929809754285
ITA,HP,11,7.0,443714.37656,63387.76808,443714.37656,15.601643,858036.211697147,177848.51624416362,177848.51624416362,1035884.7279413106,22.601643,0.3097119974862005,0.6902880025137995,852482.4655628997,37717.721033063826,0.4008175656217769
ITA,HP,12,8.28,705150.7197024,85163.13039884059,522366.7197024,18.163922,995319.878626738,207056.8190638744,207056.8190638744,1202376.6976906124,26.443922,0.3131154297006321,0.6868845702993678,1046687.5719345162,39581.40445031248,0.2936348404370347
ITA,HP,13,9.74,821014.8610992002,84293.10688903493,612526.8610992001,21.199388999999996,1155293.117420781,241659.1552400828,241659.1552400828,1396952.2726608638,30.939389,0.31480906103220074,0.6851909389677991,1215641.9569138202,39291.078337514045,0.29434199877520123
ITA,Iron,0,0.184,6.71725616064,36.50682696,6.71725616064,67.20456000000001,1833.686411573981,348.46752267802566,348.46752267802566,2182.153934252007,67.38856000000001,0.002730433770954595,0.9972695662290454,2176.214048479573,32.29352353692634,51.876467763710345
ITA,Iron,1,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,2,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,3,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,4,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,5,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,6,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
