technology,timestep,AUS_exports,AUS_imports,AUT_exports,AUT_imports,BRA_exports,BRA_imports,CHN_exports,CHN_imports,CZE_exports,CZE_imports,DEU_exports,DEU_imports,ITA_exports,ITA_imports,JPN_exports,JPN_imports,KOR_exports,KOR_imports,ROE_exports,ROE_imports,ROW_exports,ROW_imports,USA_exports,USA_imports
Compressor_transport,0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.676927000000004,0.0,0.0,0.0,0.0,0.0,0.0,18.476927000000003
Compressor_transport,1,0.0,0.0,0.0,0.066917,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.676927000000004,0.0,0.0,0.0,2.706916999999997,0.0,0.0,21.116927
Compressor_transport,2,0.0,0.8099999999999998,0.0,0.2398029999999947,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.676927000000004,0.0,0.0,0.0,7.271192,0.0,0.0,24.69831600000001
Compressor_transport,3,0.0,0.8099999999999998,0.0,1.4999999999999998,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8200000000000003,0.0,0.0,19.058808,0.0,0.0,0.0,7.271192,0.0,0.0,26.0
Compressor_transport,4,0.0,0.8099999999999998,0.0,1.4999999999999998,5.0,0.0,0.0,12.357352999999991,0.3535409999999945,0.0,0.0,0.0,0.0,2.8200000000000003,2.5264330000000124,0.0,28.327137000000004,0.0,0.0090499999999815,0.0,7.271192,0.0,0.0,26.0
Compressor_transport,5,0.0,0.8099999999999998,0.0,1.4999999999999998,5.0,0.0,0.0,20.69999999999999,0.3535409999999945,0.0,0.0,0.0,0.0,2.8200000000000003,2.5264330000000124,0.0,28.327137000000004,0.0,0.0090499999999815,0.0,15.613838999999999,0.0,0.0,26.0
Compressor_transport,6,0.0,0.8099999999999998,0.0,1.4999999999999998,5.0,0.0,0.0,26.799999999999997,0.3535409999999945,0.0,0.0,0.0,0.0,2.8200000000000003,2.5264330000000124,0.0,28.327137000000004,0.0,0.0090499999999815,0.0,21.713839000000007,0.0,0.0,26.0
Compressor_transport,7,0.0,0.8099999999999998,0.0,1.5,5.0,0.0,0.0,33.39999999999999,0.3535409999999945,0.0,1.4800000000000004,0.0,0.0,2.8200000000000003,7.646433000000009,0.0,31.6,0.0,0.0090499999999815,0.0,22.820000000000007,0.0,0.0,30.379023999999994
Compressor_transport,8,0.0,0.8099999999999998,0.0,1.4999999999999998,4.8999999999999995,0.0,0.0,33.29095000000001,0.3535409999999945,0.0,1.4800000000000004,0.0,0.0,2.8200000000000003,16.299999999999997,0.0,31.6,0.0,0.0,0.0,22.820000000000004,0.0,0.0,39.03259099999998
Compressor_transport,9,0.0,0.8099999999999998,0.0,1.5,4.8999999999999995,0.0,5.523042000000014,23.262647,0.0,0.0,1.4800000000000004,0.0,0.0,2.8200000000000003,15.0,0.0,30.7,0.0,0.0,4.65,22.82,0.0,0.0,47.38039500000001
Compressor_transport,10,0.0,0.8099999999999998,0.0,1.5,4.8999999999999995,0.0,11.37446600000001,11.070000000000002,0.0,0.0,1.4800000000000004,0.0,0.0,2.8200000000000003,13.7,0.0,29.6,0.0,0.0,6.05,22.81999999999998,0.0,0.0,61.624465999999984
Compressor_transport,11,0.0,1.9999999999999998,0.0,2.077662999999997,4.8999999999999995,0.0,11.37446600000001,8.304466000000021,0.0,0.3799999999999999,0.0,0.0,0.0,2.8200000000000003,12.2,0.0,28.5,0.0,0.0,7.45,40.95766300000002,0.0,0.0,74.9
Compressor_transport,12,0.0,2.0999999999999996,0.0,3.0,4.8,0.0,16.98264700000003,14.20264700000003,0.0,0.5800000000000001,0.0,2.6700000000000035,0.0,6.720000000000001,10.6,0.0,27.4,0.0,0.0,8.95,60.34000000000002,0.0,0.0,81.90000000000002
Compressor_transport,13,0.0,2.2,0.0,3.1,4.8,0.0,16.98264700000003,14.442647000000008,0.0,0.6800000000000002,0.0,3.1700000000000035,0.0,7.220000000000001,8.9,0.0,26.1,0.0,0.0,10.55,73.97999999999999,0.0,0.0,89.40000000000002
