timestep,hs_code,Australia_exports,Australia_imports,Austria_exports,Austria_imports,Brazil_exports,Brazil_imports,China_exports,China_imports,Czechia_exports,Czechia_imports,Germany_exports,Germany_imports,Italy_exports,Italy_imports,Japan_exports,Japan_imports,Rep. of Korea_exports,Rep. of Korea_imports,USA_exports,USA_imports
2022,841861,286237120.70100003,8680859.665000001,346427715.572,97889001.15799998,11831354.0,152100.456,9491554.0,1239786008.2679996,315478566.0,151188325.41399997,1632366840.947,791610244.683,1016615864.2639999,339615669.555,24113967.498,159489989.79500002,12692052.0,129217391.443,138082238.0,107071119.875
2023,841861,317277004.366,3533142.0300000003,372297493.63000005,152266650.31800002,23477456.0,518952.91500000004,9228772.0,1021628999.0990001,330271038.0,97532837.263,2241898174.361,885503168.317,738852499.3689997,479371320.9499999,16664765.022,197003648.17700002,0.0,126616174.16499999,125963612.0,129178136.65400001
