timestep,hs_code,Australia_exports,Australia_imports,Austria_exports,Austria_imports,Brazil_exports,Brazil_imports,China_exports,China_imports,Czechia_exports,Czechia_imports,Germany_exports,Germany_imports,Italy_exports,Italy_imports,Japan_exports,Japan_imports,Rep. of Korea_exports,Rep. of Korea_imports,USA_exports,USA_imports
2022,841430,194882416.15600002,3156060.435,127618811.83199999,42780299.808,913150098.0,308298844.38,2230178594.0,4768264662.316,429901722.0,206626099.382,2413968646.7169995,1076055296.4850001,1171179284.124,294205336.669,411739693.43799996,1927153563.358,1321162034.0,1133204206.878,5851639930.0,1268605469.579
2023,841430,168285035.499,3621604.2799999993,160941144.449,51967157.604,875087280.0,257281360.57700002,1817446466.0,3626668993.0,511954984.0,243165202.893,2494897508.401,1059306706.3749999,1167110516.2749999,360166778.086,460993868.58000004,1804560992.743,0.0,1245456527.595,5411085492.0,1374372342.527
