timestep,hs_code,Australia_exports,Australia_imports,Austria_exports,Austria_imports,Brazil_exports,Brazil_imports,China_exports,China_imports,Czechia_exports,Czechia_imports,Germany_exports,Germany_imports,Italy_exports,Italy_imports,Japan_exports,Japan_imports,Rep. of Korea_exports,Rep. of Korea_imports,USA_exports,USA_imports
2022,841950,378739708.45,12822683.049,341107692.829,90680899.219,349611034.0,52614263.140999995,1334880490.0,1781802948.941,318373840.0,208323034.45,2340316285.739001,989820521.743,920575424.052,811173669.5979999,812765212.94,405190097.089,477442944.0,579616349.049,3163170874.0,1406520104.1669998
2023,841950,368849610.358,15799176.421999998,372473526.321,116649757.95,392761500.0,38630068.521,1886120214.0,1688048274.264,430084260.0,238334390.59499997,2474272454.363,1224955615.9350002,981485603.026,940287744.6449999,1006670821.102,394740036.801,0.0,676370073.976,3332620782.0,1513815068.2930002
