timestep,hs_code,Australia_exports,Australia_imports,Austria_exports,Austria_imports,Brazil_exports,Brazil_imports,China_exports,China_imports,Czechia_exports,Czechia_imports,Germany_exports,Germany_imports,Italy_exports,Italy_imports,Japan_exports,Japan_imports,Rep. of Korea_exports,Rep. of Korea_imports,USA_exports,USA_imports
2022,841440,75326567.452,3357230.4429999995,6698031.642999999,1103622.1509999998,5148538.0,4225182.161,1663700.0,258986873.35799998,11019010.0,31674818.071000002,64493611.626,106365789.62499999,39451146.397999994,39684813.859,20991718.137,50168415.97099999,45699756.0,3791883.0709999995,90563706.0,124070690.27799998
2023,841440,82910271.03299999,2013138.941,17855315.264,3064934.817,18801224.0,4544630.233000001,2270678.0,313147994.203,11021174.0,45245136.658,73126836.881,116874146.544,41332284.489,76097242.07499999,14579098.059999999,49300509.14100001,0.0,3630510.997,204478742.0,132720410.42199998
