timestep,hs_code,Australia_exports,Australia_imports,Austria_exports,Austria_imports,Brazil_exports,Brazil_imports,China_exports,China_imports,Czechia_exports,Czechia_imports,Germany_exports,Germany_imports,Italy_exports,Italy_imports,Japan_exports,Japan_imports,Rep. of Korea_exports,Rep. of Korea_imports,USA_exports,USA_imports
2022,841581,58865045.243999995,756629.365,94593153.347,12872837.543999998,44336044.0,473261.731,13801834.0,878492440.769,119074982.0,40744916.815,162959024.86600003,207692577.97300002,404656399.71300006,152042213.36699998,12155441.414,50203995.622999996,8156768.0,133325141.53800002,610802406.0,95526401.89400001
2023,841581,75666586.212,1165348.414,99013452.15100001,10888510.956,20694730.0,592485.3879999999,25278172.0,913061639.993,121554602.0,47076354.900000006,210294324.976,162374559.80699998,280420051.065,196451673.56,24476510.202,48082845.55400001,0.0,126333824.44500001,748348160.0,109868900.28099999
