node,year_construction,capacity_existing
AUS,2022,56.55
AUT,2022,26.75
BRA,2022,46.8
CHN,2022,2500
CZE,2022,0
DEU,2022,275.2
ITA,2022,1.875
JPN,2022,402
KOR,2022,163
ROE,2022,669
ROW,2022,318.825
USA,2022,40
