node,year_construction,capacity_existing
AUS,2022,100000
AUT,2022,1
BRA,2022,33000
CHN,2022,90000
CZE,2022,1
DEU,2022,1
ITA,2022,1
JPN,2022,1
KOR,2022,1
ROE,2022,13283
ROW,2022,143621
USA,2022,96
