location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,99.7675805959219,99.3424191856625,98.43030773743776,98.30411133774372,98.12934691127984,97.45462460518466,123.42098386499252,98.38756894018756,186.29047879793734,176.14607438791714,366.400937892272,174.53881068941618,186.08992884327742,184.95659549086236,149.11855494857807
AUT,145.6340972420803,144.7449964781304,145.1900701721174,143.25929826728182,141.73340525670469,139.29051669963485,136.99165091329192,135.5535889752857,224.48129426245515,211.89098755432013,204.3912882213933,134.51050934285635,137.5563401893844,137.10372639524,155.88084071215548
BRA,116.13891012306198,115.86891012306197,115.26891012306197,114.86891012306197,114.56891012306197,113.02714634403276,111.10699434109543,121.9920071557308,106.87111495417926,330.56566607913237,305.53171818720114,105.51670759109541,124.85421764861952,104.796661952702,142.92691320493563
CHN,146.08268461938587,130.9764655666959,127.08636137896282,127.12600724402947,122.57826082222815,114.33402632781366,117.52243880983016,113.31968705658699,114.71359374702692,121.96502717475666,130.29453924413525,129.2302076125818,115.0688990731486,118.48022875639657,123.48417338811275
CZE,247.4835789678731,233.3203074795669,218.7674968671285,216.1322968671285,213.4393368671285,210.909897004507,208.27475064064538,189.66982617683288,178.6055956703458,171.57593946053748,168.04378911634475,166.94165663013476,166.7338792169211,237.79914008942737,201.97839221818018
DEU,214.34099199549806,211.73011951235554,204.3426428027709,201.26836382992542,227.0696215742833,208.55252564801992,201.45800396221406,192.15867159226133,193.38049486341671,159.41499860024177,147.92473884621216,141.19973239661806,137.8297237978369,137.4594048903676,184.15214530800154
ITA,424.9929423972769,258.80183836494484,236.05636332958974,232.489266672613,228.92217001563628,225.74410557765177,222.37700892067502,219.00991226369825,194.46662412534138,191.66662412534137,190.09017513489636,254.5863345435849,247.21834447747864,245.53334997464603,240.85393285166967
JPN,593.0763455278352,554.0304117875145,400.1552207476471,396.3366077784684,392.515512633172,389.8143890360022,325.58235846914084,226.62782505366988,197.45333730882552,186.01556001583864,184.20294790720567,175.96823421478692,174.6963529615318,173.55572359281933,312.14505907388985
KOR,755.4626286926707,752.4446283207567,755.8475219209955,323.3654523142116,242.91822477718011,214.53328494808054,189.26165929000857,171.71037397396685,254.22392563946474,251.39575532520396,250.12216468810456,176.68680106964143,175.8710713779401,175.11495547223046,334.9256034150326
ROE,197.45325001547434,182.54338729140287,173.8387027934444,175.42402092711885,165.5966617842878,161.2415898273008,155.89437289714692,152.2510627804708,142.86370928342905,142.67687668747797,140.05354290048646,179.27427596849455,180.65296766144482,216.11789935574598,168.99159429812326
ROW,326.9875629006301,295.2657075211149,250.3327660238258,213.72214409162945,175.48721739963872,149.30497830859875,158.08890226480017,166.00882944975257,164.0514432524137,157.8978807520101,160.224850734529,203.56356321467862,287.43675054850286,237.30420943148107,210.40548613525758
USA,182.95354347954148,172.59232986639145,170.06617373179824,163.39338512826072,169.5490647579555,172.62918299288677,162.27709461356693,196.5196060044898,182.657049326229,182.39914650895687,183.2931553481168,161.79484467525754,160.8855181193212,151.84971790547385,172.3471294613033
