commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.13445541613141107,0.14509046511763043,0.15331868641010535,0.16384220521832818,0.1737810664079885,0.1751846089868109,0.1578253145161356,0.16268758701273955,0.16699017655203316,0.1734037695971941,0.17848855657132376,0.1842181463188027,0.18856339805435673,0.19071802441751587,0.16775481580802684
Bauxite,0.4823917588529122,0.4454270852757103,0.4103864629189339,0.3772446964446861,0.34597403260281423,0.31654353759404025,0.2889185969216674,0.26306047552822953,0.23892602834501,0.21646749566628587,0.2572357650127252,0.4540983163211356,0.6569278781576875,0.8433106161983365,0.3997794818457268
Compressor,0.024059216828567473,0.025207583760802302,0.028455881627033285,0.030899031883578947,0.038071669517458925,0.05074594327041511,0.06028332503850918,0.08235393918863054,0.09216865611102722,0.09296656931721553,0.10028383754776882,0.07868810260208337,0.07074045354106091,0.06437665314334008,0.05995006166982083
Copper,1.369362921580624,1.2441462509162589,0.9458237772670538,0.6941677807420931,0.35519039710746814,0.06184771424037123,0.2284972658537456,0.36421365802877803,0.5453695933080315,0.7760695690721472,0.9780219787915259,1.6821062616751885,1.6628355248765352,1.7923043748549585,0.9071397905939128
Copper_ore,0.0945055959762097,0.09213271736000173,0.1003669673201306,0.10281062583665534,0.10752475713501654,0.10890666054238712,0.1049578983180348,0.11369401268723592,0.12381398166354567,0.1256899263927079,0.1198697337504939,0.09424607183224719,0.084334650311476,0.0757118541171493,0.10346896094594939
HEX,0.01397680033881688,0.022928054002974926,0.03267449050469849,0.0443966673761087,0.05738112014619516,0.06371143062803519,0.05950434474865227,0.060231263922249624,0.06700269003945739,0.07287271983114899,0.07894228392288927,0.08833241955913099,0.08225761277877872,0.07748930357843715,0.058692942955540985
HP,0.017857839327597595,0.03069556148277425,0.040894208753656576,0.046037179950702285,0.049288230267299296,0.04875436295335629,0.05600843394380625,0.05545660789651496,0.06185080079044874,0.07061975761786882,0.0958650439927985,0.09037855548365947,0.08494749251863672,0.09170820852441343,0.06002587739310951
Iron,0.037940895188207195,0.03738855079779535,0.04669886129443048,0.045784057632969485,0.04460120614092016,0.04220005965557414,0.05411971867257197,0.05999094771443033,0.07194739163119307,0.06937634214189399,0.06502128077535749,0.056475641986640075,0.05024370156970508,0.044942500677368324,0.05190936827707552
Nickel,0.01391614753341351,0.01256486278981557,0.01158433812035727,0.010465372742393276,0.009444364739376048,0.008409806867716472,0.008198884564980437,0.007501038543845228,0.006966849304160444,0.006336587944465898,0.005857504005087233,0.00532524025719987,0.0049047818571404935,0.004549004094038539,0.008287484525999308
Steel,0.00017609660819818915,0.00028073192713042505,0.00031864589749881387,0.0002927094290584699,0.0002682531992384533,0.0002452976382737561,0.00022337939562106014,0.0002030814498969344,0.000184133623032497,0.00016706114316173673,0.00015144113137756374,0.00013655716161505675,0.00012280366849557806,0.00011021899171950656,0.00020574366173700293
