location,time_operation,lcohp,scenario
AUS,0,99.7675805959219,S5
AUS,1,99.3424191856625,S5
AUS,2,98.43030773743776,S5
AUS,3,98.30411133774372,S5
AUS,4,98.12934691127984,S5
AUS,5,97.45462460518466,S5
AUS,6,123.42098386499252,S5
AUS,7,98.38756894018756,S5
AUS,8,186.29047879793734,S5
AUS,9,176.14607438791714,S5
AUS,10,366.400937892272,S5
AUS,11,174.53881068941618,S5
AUS,12,186.08992884327742,S5
AUS,13,184.95659549086236,S5
AUT,0,145.6340972420803,S5
AUT,1,144.7449964781304,S5
AUT,2,145.1900701721174,S5
AUT,3,143.25929826728182,S5
AUT,4,141.73340525670469,S5
AUT,5,139.29051669963485,S5
AUT,6,136.99165091329192,S5
AUT,7,135.5535889752857,S5
AUT,8,224.48129426245515,S5
AUT,9,211.89098755432013,S5
AUT,10,204.3912882213933,S5
AUT,11,134.51050934285635,S5
AUT,12,137.5563401893844,S5
AUT,13,137.10372639524,S5
BRA,0,116.13891012306198,S5
BRA,1,115.86891012306197,S5
BRA,2,115.26891012306197,S5
BRA,3,114.86891012306197,S5
BRA,4,114.56891012306197,S5
BRA,5,113.02714634403276,S5
BRA,6,111.10699434109543,S5
BRA,7,121.9920071557308,S5
BRA,8,106.87111495417926,S5
BRA,9,330.56566607913237,S5
BRA,10,305.53171818720114,S5
BRA,11,105.51670759109541,S5
BRA,12,124.85421764861952,S5
BRA,13,104.796661952702,S5
CHN,0,146.08268461938587,S5
CHN,1,130.9764655666959,S5
CHN,2,127.08636137896282,S5
CHN,3,127.12600724402947,S5
CHN,4,122.57826082222815,S5
CHN,5,114.33402632781366,S5
CHN,6,117.52243880983016,S5
CHN,7,113.31968705658699,S5
CHN,8,114.71359374702692,S5
CHN,9,121.96502717475666,S5
CHN,10,130.29453924413525,S5
CHN,11,129.2302076125818,S5
CHN,12,115.0688990731486,S5
CHN,13,118.48022875639657,S5
CZE,0,247.4835789678731,S5
CZE,1,233.3203074795669,S5
CZE,2,218.7674968671285,S5
CZE,3,216.1322968671285,S5
CZE,4,213.4393368671285,S5
CZE,5,210.909897004507,S5
CZE,6,208.27475064064538,S5
CZE,7,189.66982617683288,S5
CZE,8,178.6055956703458,S5
CZE,9,171.57593946053748,S5
CZE,10,168.04378911634475,S5
CZE,11,166.94165663013476,S5
CZE,12,166.7338792169211,S5
CZE,13,237.79914008942737,S5
DEU,0,214.34099199549806,S5
DEU,1,211.73011951235554,S5
DEU,2,204.3426428027709,S5
DEU,3,201.26836382992542,S5
DEU,4,227.0696215742833,S5
DEU,5,208.55252564801992,S5
DEU,6,201.45800396221406,S5
DEU,7,192.15867159226133,S5
DEU,8,193.38049486341671,S5
DEU,9,159.41499860024177,S5
DEU,10,147.92473884621216,S5
DEU,11,141.19973239661806,S5
DEU,12,137.8297237978369,S5
DEU,13,137.4594048903676,S5
ITA,0,424.9929423972769,S5
ITA,1,258.80183836494484,S5
ITA,2,236.05636332958974,S5
ITA,3,232.489266672613,S5
ITA,4,228.92217001563628,S5
ITA,5,225.74410557765177,S5
ITA,6,222.37700892067502,S5
ITA,7,219.00991226369825,S5
ITA,8,194.46662412534138,S5
ITA,9,191.66662412534137,S5
ITA,10,190.09017513489636,S5
ITA,11,254.5863345435849,S5
ITA,12,247.21834447747864,S5
ITA,13,245.53334997464603,S5
JPN,0,593.0763455278352,S5
JPN,1,554.0304117875145,S5
JPN,2,400.1552207476471,S5
JPN,3,396.3366077784684,S5
JPN,4,392.515512633172,S5
JPN,5,389.8143890360022,S5
JPN,6,325.58235846914084,S5
JPN,7,226.62782505366988,S5
JPN,8,197.45333730882552,S5
JPN,9,186.01556001583864,S5
JPN,10,184.20294790720567,S5
JPN,11,175.96823421478692,S5
JPN,12,174.6963529615318,S5
JPN,13,173.55572359281933,S5
KOR,0,755.4626286926707,S5
KOR,1,752.4446283207567,S5
KOR,2,755.8475219209955,S5
KOR,3,323.3654523142116,S5
KOR,4,242.91822477718011,S5
KOR,5,214.53328494808054,S5
KOR,6,189.26165929000857,S5
KOR,7,171.71037397396685,S5
KOR,8,254.22392563946474,S5
KOR,9,251.39575532520396,S5
KOR,10,250.12216468810456,S5
KOR,11,176.68680106964143,S5
KOR,12,175.8710713779401,S5
KOR,13,175.11495547223046,S5
ROE,0,197.45325001547434,S5
ROE,1,182.54338729140287,S5
ROE,2,173.8387027934444,S5
ROE,3,175.42402092711885,S5
ROE,4,165.5966617842878,S5
ROE,5,161.2415898273008,S5
ROE,6,155.89437289714692,S5
ROE,7,152.2510627804708,S5
ROE,8,142.86370928342905,S5
ROE,9,142.67687668747797,S5
ROE,10,140.05354290048646,S5
ROE,11,179.27427596849455,S5
ROE,12,180.65296766144482,S5
ROE,13,216.11789935574598,S5
ROW,0,326.9875629006301,S5
ROW,1,295.2657075211149,S5
ROW,2,250.3327660238258,S5
ROW,3,213.72214409162945,S5
ROW,4,175.48721739963872,S5
ROW,5,149.30497830859875,S5
ROW,6,158.08890226480017,S5
ROW,7,166.00882944975257,S5
ROW,8,164.0514432524137,S5
ROW,9,157.8978807520101,S5
ROW,10,160.224850734529,S5
ROW,11,203.56356321467862,S5
ROW,12,287.43675054850286,S5
ROW,13,237.30420943148107,S5
USA,0,182.95354347954148,S5
USA,1,172.59232986639145,S5
USA,2,170.06617373179824,S5
USA,3,163.39338512826072,S5
USA,4,169.5490647579555,S5
USA,5,172.62918299288677,S5
USA,6,162.27709461356693,S5
USA,7,196.5196060044898,S5
USA,8,182.657049326229,S5
USA,9,182.39914650895687,S5
USA,10,183.2931553481168,S5
USA,11,161.79484467525754,S5
USA,12,160.8855181193212,S5
USA,13,151.84971790547385,S5
