node,year_construction,capacity_existing
AUS,2022,830
AUT,2022,1
BRA,2022,381
CHN,2022,1900
CZE,2022,1
DEU,2022,1
ITA,2022,9.8
JPN,2022,1
KOR,2022,1
ROE,2022,3431
ROW,2022,14158
USA,2022,1300
