node,year_construction,capacity_existing
AUS,2022,1500
AUT,2022,491
BRA,2022,811
CHN,2022,40000
CZE,2022,60
DEU,2022,550
ITA,2022,0
JPN,2022,30
KOR,2022,0
RoE,2022,7488
RoW,2022,16610
USA,2022,860
