node,year_construction,capacity_existing
AUS,2022,880000
AUT,2022,3000
BRA,2022,410000
CHN,2022,380000
CZE,2022,1
DEU,2022,500
ITA,2022,4.6
JPN,2022,1
KOR,2022,500
ROE,2022,151000
ROW,2022,729000
USA,2022,46000
