technology,location,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,DEU,5,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,6,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,7,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,8,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,9,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,10,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,11,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,12,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,DEU,13,123.2,123.2,123.2,123.2,123.2,123.2
Aluminium_production,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_production,JPN,0,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,1,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,2,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,3,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,4,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,5,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,6,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,7,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,8,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,9,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,10,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,11,15.12,15.12,15.12,15.12,15.12,15.12
Aluminium_production,JPN,12,15.12,15.12,15.12,15.12,15.12,15.12
