technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Aluminium_production,AUS,0,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,1,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,2,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,3,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,4,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,5,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,6,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,7,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,8,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,9,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,10,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,11,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,12,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUS,13,96868.08,96868.08,96868.08,96868.08,96868.08
Aluminium_production,AUT,0,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,1,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,2,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,3,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,4,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,5,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,6,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,7,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,8,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,9,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,10,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,11,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,12,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,AUT,13,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
Aluminium_production,BRA,0,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,1,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,2,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,3,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,4,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,5,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,6,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,7,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,8,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,9,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,10,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,11,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,12,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,BRA,13,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
Aluminium_production,CHN,0,448595.29008,448595.29008,448595.29008,448595.29008,448595.29008
Aluminium_production,CHN,1,509003.2435851883,509003.2435851883,509003.2435851883,509003.2435851883,509003.2435851882
Aluminium_production,CHN,2,576314.2232934101,576314.2232934101,576314.2232934101,576314.2232934101,576314.2232934101
Aluminium_production,CHN,3,651483.9952008586,651483.9952008586,651483.9952008586,651483.9952008585,651483.9952008586
Aluminium_production,CHN,4,735614.6372969553,735614.6372969556,735614.6372969556,735614.6372969551,735614.6372969553
Aluminium_production,CHN,5,829978.2068129525,829978.2068129524,829978.2068129524,829978.2068129525,829978.2068129525
Aluminium_production,CHN,6,936044.1979027016,936044.1979027016,936044.1979027016,936044.1979027018,936044.1979027018
Aluminium_production,CHN,7,1055511.6553906195,1055511.6553906195,1055511.6553906195,1055511.6553906195,1055511.6553906195
